Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,31/08/13,Latina,Avellino,1,1,D,0,1,A,2.3,3.1,3.25,2.3,2.95,3.25,2.2,2.9,3.2,2.3,3,3,2.46,3.1,3.34,2.3,3,3.1,2.3,3,3.2,2.4,3.1,3.25,31,2.48,2.31,3.1,3,3.34,3.12,20,2.38,2.25,1.68,1.6,15,0,1.69,1.65,2.33,2.23
I2,31/08/13,Novara,Siena,2,1,H,0,0,D,2.45,3.2,2.88,2.55,2.95,2.85,2.5,2.9,2.8,2.45,3,2.8,2.63,3.15,3.01,2.45,3.1,2.8,2.5,3,2.88,2.5,3.2,3,31,2.66,2.49,3.2,3.05,3.01,2.82,27,2.2,2.05,1.84,1.75,15,0,1.83,1.78,2.15,2.07
I2,31/08/13,Palermo,Empoli,1,2,A,1,1,D,2,3.3,3.8,2.05,3.25,3.5,2.1,3,3.3,2,3.2,3.4,2.09,3.32,4,2.05,3.25,3.4,2.05,3.25,3.5,2.1,3.3,3.75,31,2.12,2.05,3.35,3.22,4.2,3.48,27,2.1,2.01,1.92,1.78,14,-0.25,1.84,1.78,2.18,2.08
I2,31/08/13,Varese,Modena,1,1,D,0,0,D,1.91,3.4,4,1.9,3.2,4.1,2,3,3.6,1.95,3,3.9,2.04,3.18,4.41,2,3.2,3.6,1.95,3.4,3.75,2,3.4,4,31,2.05,1.97,3.4,3.21,4.41,3.74,20,2.38,2.19,1.74,1.63,14,-0.25,1.75,1.7,2.25,2.18
I2,31/08/13,Virtus Lanciano,Reggina,1,1,D,1,0,H,2.5,3,3,2.45,2.95,3,2.4,2.9,2.9,2.4,3.1,2.8,2.64,3.01,3.13,2.5,3,2.8,2.4,3,3,2.6,3.1,2.9,31,2.64,2.45,3.1,3,3.13,2.92,20,2.34,2.24,1.68,1.61,15,0,1.84,1.79,2.13,2.04
I2,02/09/13,Trapani,Pescara,2,2,D,1,1,D,2.38,3.25,3,2.5,3.1,2.8,2.45,2.9,2.85,2.3,3,2.9,2.6,3.18,3.02,2.45,3.1,2.8,2.4,3.13,3,2.5,3.25,2.9,30,2.6,2.4,3.25,3.05,3.2,2.94,26,2.15,2.01,1.87,1.78,14,0,1.82,1.75,2.19,2.08
I2,07/09/13,Brescia,Novara,1,1,D,1,0,H,2.25,3.2,3.25,2.3,2.95,3.25,2.3,2.9,3,2.2,3.1,3,2.4,3.28,3.26,2.38,3.1,2.88,2.3,3.13,3.13,2.4,3.25,3.1,32,2.44,2.31,3.28,3.1,3.26,3.05,27,2.15,2.04,1.9,1.76,15,0,1.72,1.68,2.28,2.19
I2,07/09/13,Spezia,Carpi,0,2,A,0,1,A,1.62,3.6,6,1.6,3.4,6.25,1.6,3.4,5.2,1.57,3.5,5.5,1.68,3.53,6.63,1.62,3.4,5.5,1.62,3.4,5.8,1.65,3.6,6,32,1.68,1.62,3.7,3.41,6.63,5.81,22,2.38,2.24,1.72,1.61,15,-1,2.29,2.2,1.73,1.69
I2,08/09/13,Avellino,Ternana,1,0,H,0,0,D,2.63,3.1,2.75,2.65,2.9,2.8,2.6,2.9,2.7,2.6,2.9,2.65,2.82,3.03,2.9,2.7,2.9,2.7,2.63,3,2.63,2.7,3.1,2.8,32,2.82,2.65,3.1,2.97,2.95,2.72,22,2.53,2.38,1.65,1.54,15,0,1.94,1.89,2.01,1.94
I2,08/09/13,Cesena,Virtus Lanciano,0,1,A,0,0,D,1.91,3.3,4.2,1.85,3.3,4.2,1.9,3.1,3.8,1.85,3.2,4.1,1.91,3.35,4.81,,,,1.9,3.25,4,1.9,3.3,4.4,31,1.95,1.89,3.5,3.26,4.81,4.05,27,2.25,2.14,1.76,1.69,13,-0.5,1.93,1.9,2.01,1.97
