round,home_team,home_score,away_score,away_team,notes
33,Nürnberg,4,1,Meidericher,"(T.Wild 2, 31, Strehl 78, Flachenecker 86 -Rühl 79)"
33,Bayern,1,4,1. FC Köln,"(Grosser 74 - Hornig 3, Overath 22, Beckenbauer30 o, C.Müller 77)"
33,Hamburger,1,3,Werder,"(Pohlschmidt 32 - Soya 25, Piechowiak 33 o,Schulz 56)"
33,Dortmund,0,2,TSV 1860,"(Brunnenmeier 66, Grosser 89)"
33,M'gladbach,1,2,Frankfurt,"(Laumann 51 - Huberts 20, Friedrich 65)"
33,Karlsruher,1,4,B'schweig,"(H.Wild 88 - Ulsaß 9, 75, Maas 62, W.Schmidt 65)"
33,Tasmania,2,1,Neunkirchen,"(Zeh 22, W.Neumann 83 - G.Kuntz 36 p)"
34,Neunkirchen,1,0,Karlsruher,(G.Kuntz 17)
34,B'schweig,1,1,M'gladbach,(Ulsaß 65 - Brase 11 o)
34,Frankfurt,4,1,Dortmund,"(Solz 6, Huberts 8, 80, Blusch 22 - Wosab 2)"
34,TSV 1860,1,1,Hamburger,(Brunnenmeier 5 - B.Dörfel 77)
34,Werder,1,1,Bayern,(Schütz 19 - Werner 14)
34,1. FC Köln,2,1,Nürnberg,"(Hornig 17, Weber 27 - Strehl 24 p)"
34,Meidericher,2,2,Hannover,"(Nielke 50, 63 - Rodekamp 57, Bena 83)"
34,Stuttgart,4,1,K'lautern,"(Peters 4, 29, Siebert 13, Waldner 79 - Geisert 10)"
34,Schalke,4,0,Tasmania,"(Klose 2, 78, Herrmann 40, Kreuz 82)"
