round,home_team,home_score,away_score,away_team,notes
7,B'schweig,1,1,Stuttgart,(Ulsaß 56 p - Huttary 71)
7,Frankfurt,2,0,Meidericher,"(Huberts 53, Sztani 83)"
7,TSV 1860,2,1,1. FC Köln,"(Rebele 25, Grosser 77 - Löhr 60)"
7,Werder,2,0,Schalke,"(Podlich 28, Matischak 68)"
8,K'lautern,0,0,Tasmania,
8,Hannover,5,2,K'lautern,"(Bandura 3, Siemensmeyer 14, Rodekamp 27,Heiser 68, Laszig 77 p - Dürrschabel 67, Dobat 87)"
8,Nürnberg,2,2,M'gladbach,"(Strehl 56, Allemann 58 - Heynckes 15, Milder 76)"
8,Bayern,0,2,Dortmund,"(Wosab 38, 83) [65 Beckenbauer (Bayern) m/pen]"
8,Werder,0,2,TSV 1860,"(Grosser 73 p, Rebele 87)"
8,1. FC Köln,1,0,Frankfurt,(Pott 30 p)
8,Meidericher,4,1,B'schweig,"(Mielke 36, 75, Lotz 58, Sabath 69 - Maas 71)"
8,Stuttgart,2,0,Neunkirchen,"(Geiger 8, Huttary 77)"
8,Schalke,2,1,Hamburger,"(Neuser 20, Pliska 42 - U.Seeler 36)"
9,Hamburger,0,4,Bayern,"(Nefziger 9, 78, Drescher 19, Brenninger 81)"
9,Dortmund,2,0,Nürnberg,"(Emmerich 42, 78) [42 Emmerich (Dortmund) m/pen,73 Flachenecker (Nürnberg) m/pen]"
9,M'gladbach,2,0,Hannover,"(Netzer 53 p, Laumen 75) [75 Laszig (Hannover) m/pen]"
9,Karlsruher,1,0,K'lautern,(Dobat 55)
9,Tasmania,0,2,Stuttgart,"(Sieloff 20, Peters 57)"
9,Neunkirchen,0,1,Meidericher,(Krämer 84)
9,B'schweig,1,2,1. FC Köln,"(Gerwien 15 - F-P.Neumann 8, 40)"
9,Frankfurt,1,0,Werder,(Huberts 44)
9,TSV 1860,3,0,Schalke,"(Brunnenmeier 20, Heiß 63, Konietzka 76)"
10,K'lautern,1,2,M'gladbach,"(Geisert 79 - Netzer 18, Schneider 70 o)"
10,Hannover,1,1,Dortmund,(Laszig 32 - Held 7)
10,Nürnberg,5,0,Hamburger,"(Strehl 62, 66, 77 p, Flachenecker 26, 81)"
10,TSV 1860,4,2,Frankfurt,"(Konietzka 10, 74, Grosser 63 p, 88 - Huberts 22,Grabowski 87)"
10,Werder,4,0,B'schweig,"(Matischak 2, 55, Schütz 23, Piontek 26)"
10,1. FC Köln,4,2,Neunkirchen,"(Thielen 17, Bönnen 35, Löhr 64, Krauthausen 73 -G.Kuntz 44, 84)"
10,Meidericher,3,0,Tasmania,"(Nolden 64 p, Gecks 79, Heidemann 88)"
10,Stuttgart,1,0,Karlsruher,(Sieloff 53 p)
10,Schalke,1,1,Bayern,(Kreuz 65 - Koulmann 5)
11,Bayern,0,0,Nürnberg,
11,Hamburger,2,1,Hannover,"(G.Dörfel 61, Wulf 88 - Rodekamp 8)"
11,Dortmund,4,0,K'lautern,"(Libuda 47, Held 55, Emmerich 71, A.Schmidt 87)"
11,M'gladbach,1,0,Stuttgart,(Netzer 2 p)
11,Karlsruher,0,4,Hamburger,"(Rühl 2, 46, Krämer 28, 48)"
11,Tasmania,0,6,1. FC Köln,"(Löhr 63, 90, F-P.Neumann 69, 72, Thielen 3,Overath 76)"
11,Neunkirchen,1,2,Werder,"(Simmet 70 - Schütz 23 p, Zembski 81)"
11,B'schweig,2,2,TSV 1860,"(Ulsaß 15, 67 p - Brunnenmeier 4, 18)"
11,Frankfurt,4,1,Schalke,"(Trimhold 26, 68, Solz 7, Huberts 85 - Herrmann 72 p)"
12,K'lautern,2,1,Hamburger,"(Wrenger 8, Rummel 33 - Wulf 18)"
12,Hannover,3,4,Bayern,"(Mülhausen 14, 44 p, Nix 60 - G.Müller 54, 58,Ohlhauser 32, Brenninger 47)"
12,Frankfurt,4,1,B'schweig,"(Höfer 2, Huberts 25, Lechner 67, 81 - Ulsaß 68)"
12,TSV 1860,4,1,Neunkirchen,"(Konietzka 12, 57, Heiß 37, 85 - Simmet 77)"
12,Werder,5,0,Tasmania,"(Zembski 9, Lorenz 13, Matischak 28, 88, Ferner 48)"
12,1. FC Köln,2,0,Karlsruher,"(Thielen 78, Sturm 79)"
12,Meidericher,3,2,M'gladbach,"(Nielke 25, 40, Krämer 22 - Netzer 6 p, Heynckes 89)"
12,Stuttgart,1,1,Dortmund,(Emmerich 40 - Peters 79)
12,Schalke,1,0,Nürnberg,(Herrmann 80) [78 Herrmann (Schalke) m/pen]
13,Nürnberg,2,1,Hannover,"(Volkert 55, Brungs 70 - Siemensmeyer 71)"
13,Bayern,3,0,K'lautern,"(G.Müller 37, Ohlhauser 68, Brenninger 70)"
13,Hamburger,4,1,Stuttgart,"(Wulf 18, 90, Peltonen 58, G.Dörfel 60 -Entenmann 75) [72 Pohlschmidt (Hamburger) m/pen]"
13,Dortmund,1,1,Meidericher,(Sturm 13 - R.Schmidt 22)
13,M'gladbach,2,3,1. FC Köln,"(Heynckes 6, Rupp 75 - C.Müller 15, Löhr 30, Thielen 48)"
13,Karlsruher,3,2,Werder,"(H.Wild 9, 22, Cieslarczyk 61 - Hänel 7, 13)"
13,Tasmania,0,5,TSV 1860,"(Konietzka 18, 35, Brunnenmeier 73, Grosser 80,Heiß 85)"
13,Neunkirchen,1,6,Frankfurt,"(May 55 - Bechtold 13, 64, 88, Huberts 36,Grabowski 52, Trimhold 84)"
13,B'schweig,3,0,Schalke,"(Ulsaß 8, 76, Gerwien 73)"
14,K'lautern,0,0,Nürnberg,
14,B'schweig,1,2,Neunkirchen,"(Ulsaß 81 - Winger 57, Simmet 82)"
14,Frankfurt,4,0,Tasmania,"(Bechtold 35, Lotz 50, 77, Grabowski 83)"
14,TSV 1860,2,0,Karlsruher,"(Luttrop 28, Konietzka 50)"
14,Werder,2,0,M'gladbach,"(Lorenz 73, Höttges 75 p)"
14,1. FC Köln,1,2,Dortmund,"(C.Müller 33 - Wosab 28, Emmerich 31)"
14,Meidericher,3,1,Hamburger,"(Rühl 46, Krämer 55, R.Schmidt 75 - Pohlschmidt 78)"
14,Stuttgart,0,1,Bayern,(Menne 38)
14,Schalke,1,0,Hannover,(Herrmann 44)
15,Hannover,4,0,K'lautern,"(Hoff 16, 64, 69, Rodekamp 8)"
15,Nürnberg,1,1,Stuttgart,"(Brungs 56 - Reiner 64)(sent off: Eisele (Stuttgart, 25))"
15,Bayern,3,0,Meidericher,"(Brenninger 10, 55, G.Müller 87)"
15,Hamburger,2,2,1. FC Köln,"(Pohlschmidt 52, 90 - Löhr 31, C.Müller 72)"
15,Dortmund,2,1,Werder,"(Libuda 38, Emmerich 78 p - Zembski 16)"
15,Karlsruher,4,0,Frankfurt,"(Dürrschnabel 77, 82, H.Wild 32, Berking 86)"
15,Neunkirchen,1,0,Schalke,(May 21)
15,M'gladbach,1,1,TSV 1860,(Rupp 80 - Konietzka 28)
15,Tasmania,0,2,B'schweig,"(Maas 16, 36)"
16,Neunkirchen,3,1,Tasmania,"(May 9, Wingert 55, Simmet 80 - Zeh 23)"
16,B'schweig,2,0,Karlsruher,"(Maas 61, Krause 63)"
16,Frankfurt,3,1,M'gladbach,"(Lotz 28, Grabowski 68, 90 - Rupp 58)"
16,TSV 1860,2,1,Dortmund,"(Heiß 29, Rebele 79 - Emmerich 73 p)"
16,Werder,2,0,Hamburger,"(Danielsen 14, Höttges 17 p)"
16,1. FC Köln,6,1,Bayern,"(Hornig 24, 67, Borutta 16 o, Pott 30 p,C.Müller 48, Thielen 82 - Beckenbauer 43 p)"
16,Stuttgart,4,2,Hannover,"(Peters 12, Entenmann 15, Mülhausen 46 o,Huttary 68 - Siemensmeyer 62, 87)"
16,Schalke,2,1,K'lautern,"(Pyka 23, Neuser 85 - Geisert 32) [78Herrmann (Schalke) m/pen]"
17,K'lautern,1,2,Stuttgart,"(Kostrewa 79 - Weiß 2, Peters 6)"
17,Hannover,0,3,Meidericher,"(Nolden 14 p, Krämer 16, van Haaren 42)"
17,Nürnberg,2,0,1. FC Köln,"(Volkert 46, T.Wild 54)"
17,Bayern,3,1,Werder,"(Ohlhauser 40, Koulmann 48, Beckenbauer 90 p -Piontek 23)"
17,Hamburger,1,2,TSV 1860,"(G.Dörfel 73 - Brunnenmeier 67, Grosser 80)"
17,M'gladbach,1,0,B'schweig,(Heynckes 18)
17,Karlsruher,1,1,Neunkirchen,(Berking 54 - Simmet 10)
17,Tasmania,1,2,Schalke,"(Szymaniak 81 - Neuser 5, Klose 29)[Dec 29]"
17,Meidericher,1,2,Nürnberg,"(Rühl 78 - Bast 4, Reisch 65 p)"
18,K'lautern,1,0,Meidericher,(Wrenger 87)
18,Hannover,1,1,1. FC Köln,(Löhr 20 - Gräber 26)
18,Nürnberg,2,1,Werder,"(Reisch 56, T.Wild 76 - Höttges 61) [49 Reisch(Nürnberg) m/pen]"
18,Bayern,3,0,TSV 1860,"(Brenninger 59, Ohlhauser 76, Nafziger 83)"
18,Hamburger,0,1,Frankfurt,(Solz 73)
18,Dortmund,1,1,B'schweig,(Emmerich 50 - Dulz 32)
18,M'gladbach,4,1,Neunkirchen,"(Pöggeler 40, Rupp 49, 65, Netzer 69 - Heiden 51)"
18,Karlsruher,3,0,Tasmania,"(Kentschke 7, Dobat 17, 27)"
18,Schalke,2,0,Stuttgart,"(Kreuz 72, 84)"
19,Karlsruher,1,0,Schalke,(H.Wild 20)
19,Tasmania,0,0,M'gladbach,
19,Neunkirchen,1,3,Dortmund,"(G.Kuntz 73 - Held 40, Sturm 66, Emmerich 77)"
19,B'schweig,1,4,Hamburger,"(Krafczyk 37 - B.Dörfel 23, Giesemann 30,Pohlschmidt 66 p, Strauß 83)"
19,Frankfurt,0,0,Bayern,
19,TSV 1860,1,1,Nürnberg,(Grosser 59 - Greif 40)
19,Bremen,3,3,Hannover,"(Zembski 3, Danielsen 65, Schimeczek 73 - Rodekamp 19, Heiser 36, Gräber 40)"
19,1. FC Köln,3,2,K'lautern,"(Thielen 16, Löhr 33, 55 - Braner 53, Wrenger 85)"
19,Meidericher,5,2,Stuttgart,"(Bella 25, Gecks 43, van Haaren 49, Nielke 65,Heidemann 73 p - Entenmann 66, Arnold 85)[Jan 19]"
19,Dortmund,3,0,Frankfurt,"(A.Schmidt 31, Libuda 65 - Paul 76)"
20,K'lautern,2,3,Werder,"(Wrenger 10, Kaminke 43 - Schütz 8, 45,Zembski 69)"
20,Hannover,0,1,TSV 1860,(Brunnenmeier 70)
20,Nürnberg,0,0,Frankfurt,[36 Reisch (Nürnberg) m/pen]
20,Bayern,2,2,B'schweig,"(Drescher 26, G.Müller 48 - Maas 36, Krafczyk 78)"
20,Hamburger,3,0,Neunkirchen,"(Pohlschmidt 54, B.Dörfel 71, U.Seeler 88)"
20,Dortmund,3,1,Tasmania,"(W.Sturm 2, Emmerich 24, Held 47 - Rosenfeldt 38)"
20,M'gladbach,1,1,Karlsruher,(Laumen 61 - Kentschke 11)
20,Stuttgart,0,1,1. FC Köln,(Löhr 40)
20,Schalke,0,0,Meidericher,
21,M'gladbach,2,0,Schalke,"(Rupp 68, 88)"
21,Kalsruher,0,0,Dortmund,
21,Tasmania,0,4,Hamburger,"(B.Dörfel 9, Krug 58, G.Dörfel 62, U.Seeler 73)"
21,Neunkirchen,0,4,Bayern,"(Brenninger 21, G.Müller 27, Koulmann 33, Nefziger 48)"
21,B'schweig,3,0,Nürnberg,"(Krafczyk 8, Haas 64, Gerwien 88)"
21,Frankfurt,0,1,Hannover,(Siemensmeyer 68) [71 Lechner (Frankfurt) m/pen]
21,Werder,3,1,Stuttgart,"(Zembski 52, Lorenz 57, Schütz 63 - Menne 84)"
21,1. FC Köln,1,1,Meidericher,"(Pott 63 - Rühl 47)(sent off: C.Müller (Köln, 80))"
22,K'lautern,5,2,Frankfurt,"(Geisert 42, 58, Kaminke 46, Kapitulski 47,Reitgaßl 50 - Lechner 15, Bechtold 20)"
22,Nürnberg,3,1,Neunkirchen,"(Brungs 16, 48, Flachenecker 71 - G.Kuntz 82)"
22,Bayern,2,1,Tasmania,"(Nefzinger 27, Vuckov 59 - Rosenfeldt 60)"
22,Hamburger,8,0,Karlsruher,"(Pohlschmidt 4, 44, 68, 70 p, G.Dörfel 36,Krug 2, 52, Peltonen 55)"
22,Dortmund,3,1,M'gladbach,"(Emmerich 52, 75, 84 - Rupp 79)"
22,Meidericher,1,2,Werder,"(Sabath 48 - Schütz 32, 65)"
22,Stuttgart,0,0,TSV 1860,
22,Schalke,0,0,1. FC Köln,
23,Dortmund,7,0,Schalke,"(A.Schmidt 28, 74, Held 27, 29, W.Sturm 67,Kurrat 72, Emmerich 77)"
23,M'gladbach,0,0,Hamburger,
23,Karlsruher,1,0,Bayern,(H.Wild 72 p)
23,Tasmania,0,1,Nürnberg,(Greif 78)
23,Neunkirchen,1,0,Hannover,(G.Kuntz 65) [22 Laszig (Hannover) m/pen]
23,B'schweig,1,1,K'lautern,(Ulsaß 54 - Reitgaßl 1)
23,Frankfurt,3,2,Stuttgart,"(Bechtold 17, Solz 31, Grabowski 39 p - Waldner 28,Sieloff 41)"
23,TSV 1860,3,3,Meidericher,"(Brunnenmeier 51, 62, Konietzka 52 - Gecks 26, 78,Tagliari 11)"
23,Werder,2,1,1. FC Köln,"(Danielsen 26, Dausmann 39 - Löhr 84)"
24,K'lautern,0,0,Neunkirchen,
24,Hannover,5,0,Tasmania,"(Badura 22, 58, Siesensmeyer 25, 59, Rodekamp 14)"
24,Nürnberg,3,0,Karlsruher,"(Flachenecker 28, 67, Strehl 52)"
24,Bayern,5,2,M'gladbach,"(Nowak 38, 43, Drescher 11, Brenninger 48,Koulmann 57)"
