Id,key,slug,name,grade,parent_id,created_at,updated_at
54,area_1_000_000_n_up,area_1_000_000_n_up,area_1_000_000_n_up,3,,2014-10-17T00:53:49.9018540-04:00,2014-10-17T00:53:49.9018540-04:00
55,area_100_000_to_1_000_000,area_100_000_to_1_000_000,area_100_000_to_1_000_000,3,,2014-10-17T00:53:49.9036120-04:00,2014-10-17T00:53:49.9036120-04:00
56,area_1_000_to_100_000,area_1_000_to_100_000,area_1_000_to_100_000,3,,2014-10-17T00:53:49.9052720-04:00,2014-10-17T00:53:49.9052720-04:00
57,area_1_000_n_less,area_1_000_n_less,area_1_000_n_less,3,,2014-10-17T00:53:49.9071180-04:00,2014-10-17T00:53:49.9071180-04:00
58,area_100_000_n_up,area_100_000_n_up,area_100_000_n_up,3,,2014-10-17T00:53:49.9088390-04:00,2014-10-17T00:53:49.9088390-04:00
59,area_1_000_n_up,area_1_000_n_up,area_1_000_n_up,3,,2014-10-17T00:53:49.9104240-04:00,2014-10-17T00:53:49.9104240-04:00
60,pop_100m_n_up,pop_100m_n_up,pop_100m_n_up,3,,2014-10-17T00:53:49.9121180-04:00,2014-10-17T00:53:49.9121180-04:00
61,pop_10m_to_100m,pop_10m_to_100m,pop_10m_to_100m,3,,2014-10-17T00:53:49.9137850-04:00,2014-10-17T00:53:49.9137850-04:00
62,pop_1m_to_10m,pop_1m_to_10m,pop_1m_to_10m,3,,2014-10-17T00:53:49.9153760-04:00,2014-10-17T00:53:49.9153760-04:00
63,pop_1m_n_less,pop_1m_n_less,pop_1m_n_less,3,,2014-10-17T00:53:49.9170240-04:00,2014-10-17T00:53:49.9170240-04:00
64,pop_10m_n_up,pop_10m_n_up,pop_10m_n_up,3,,2014-10-17T00:53:49.9186730-04:00,2014-10-17T00:53:49.9186730-04:00
65,pop_1m_n_up,pop_1m_n_up,pop_1m_n_up,3,,2014-10-17T00:53:49.9203450-04:00,2014-10-17T00:53:49.9203450-04:00
66,central asia,central_asia,central asia,1,,2014-10-17T00:53:50.9156110-04:00,2014-10-17T00:53:50.9156110-04:00
67,east asia,east_asia,east asia,1,,2014-10-17T00:53:51.0007890-04:00,2014-10-17T00:53:51.0007890-04:00
68,south asia,south_asia,south asia,1,,2014-10-17T00:53:51.0562520-04:00,2014-10-17T00:53:51.0562520-04:00
69,southeast asia,southeast_asia,southeast asia,1,,2014-10-17T00:53:51.2106980-04:00,2014-10-17T00:53:51.2106980-04:00
70,concacaf cfu,concacaf_cfu,concacaf cfu,1,,2014-10-17T00:53:51.3669620-04:00,2014-10-17T00:53:51.3669620-04:00
71,concacaf uncaf,concacaf_uncaf,concacaf uncaf,1,,2014-10-17T00:53:51.6063590-04:00,2014-10-17T00:53:51.6063590-04:00
72,supra,supra,supra,1,,2014-10-17T00:53:51.7031430-04:00,2014-10-17T00:53:51.7031430-04:00
73,western asia,western_asia,western asia,1,,2014-10-17T00:53:51.7320770-04:00,2014-10-17T00:53:51.7320770-04:00
74,mediterranean,mediterranean,mediterranean,1,,2014-10-17T00:53:51.7380320-04:00,2014-10-17T00:53:51.7380320-04:00
75,north asia,north_asia,north asia,1,,2014-10-17T00:53:52.0430540-04:00,2014-10-17T00:53:52.0430540-04:00
76,south caucasus,south_caucasus,south caucasus,1,,2014-10-17T00:53:52.1818400-04:00,2014-10-17T00:53:52.1818400-04:00
77,afc waff,afc_waff,afc waff,1,,2014-10-17T00:53:52.2241240-04:00,2014-10-17T00:53:52.2241240-04:00
78,arabian peninsula,arabian_peninsula,arabian peninsula,1,,2014-10-17T00:53:52.2292620-04:00,2014-10-17T00:53:52.2292620-04:00
79,fertile crescent,fertile_crescent,fertile crescent,1,,2014-10-17T00:53:52.3709830-04:00,2014-10-17T00:53:52.3709830-04:00
80,concacaf nafu,concacaf_nafu,concacaf nafu,1,,2014-10-17T00:53:52.4973400-04:00,2014-10-17T00:53:52.4973400-04:00
81,pacific,pacific,pacific,1,,2014-10-17T00:53:52.5209570-04:00,2014-10-17T00:53:52.5209570-04:00
82,melanesia,melanesia,melanesia,1,,2014-10-17T00:53:52.5459370-04:00,2014-10-17T00:53:52.5459370-04:00
83,micronesia,micronesia,micronesia,1,,2014-10-17T00:53:52.6126740-04:00,2014-10-17T00:53:52.6126740-04:00
84,polynesia,polynesia,polynesia,1,,2014-10-17T00:53:52.6881240-04:00,2014-10-17T00:53:52.6881240-04:00
85,conmebol,conmebol,conmebol,1,,2014-10-17T00:53:52.7595880-04:00,2014-10-17T00:53:52.7595880-04:00
86,territory,territory,territory,1,,2014-10-17T00:53:52.9493060-04:00,2014-10-17T00:53:52.9493060-04:00
87,fr,fr,fr,1,,2014-10-17T00:53:56.1532570-04:00,2014-10-17T00:53:56.1532570-04:00
88,nl,nl,nl,1,,2014-10-17T00:53:56.1582710-04:00,2014-10-17T00:53:56.1582710-04:00
89,flanders,flanders,flanders,1,,2014-10-17T00:53:56.1670110-04:00,2014-10-17T00:53:56.1670110-04:00
90,wallonia,wallonia,wallonia,1,,2014-10-17T00:53:56.2199740-04:00,2014-10-17T00:53:56.2199740-04:00
91,yugozapaden,yugozapaden,yugozapaden,1,,2014-10-17T00:53:56.3167350-04:00,2014-10-17T00:53:56.3167350-04:00
92,south western,south_western,south western,1,,2014-10-17T00:53:56.3228760-04:00,2014-10-17T00:53:56.3228760-04:00
93,yuzhen tsentralen,yuzhen_tsentralen,yuzhen tsentralen,1,,2014-10-17T00:53:56.3800710-04:00,2014-10-17T00:53:56.3800710-04:00
94,south central,south_central,south central,1,,2014-10-17T00:53:56.3838040-04:00,2014-10-17T00:53:56.3838040-04:00
95,severozapaden,severozapaden,severozapaden,1,,2014-10-17T00:53:56.4287230-04:00,2014-10-17T00:53:56.4287230-04:00
96,northern,northern,northern,1,,2014-10-17T00:53:56.4325100-04:00,2014-10-17T00:53:56.4325100-04:00
97,north western,north_western,north western,1,,2014-10-17T00:53:56.4361130-04:00,2014-10-17T00:53:56.4361130-04:00
98,severen tsentralen,severen_tsentralen,severen tsentralen,1,,2014-10-17T00:53:56.4885680-04:00,2014-10-17T00:53:56.4885680-04:00
99,north central,north_central,north central,1,,2014-10-17T00:53:56.4945050-04:00,2014-10-17T00:53:56.4945050-04:00
100,severoiztochen,severoiztochen,severoiztochen,1,,2014-10-17T00:53:56.5434330-04:00,2014-10-17T00:53:56.5434330-04:00
101,eastern,eastern,eastern,1,,2014-10-17T00:53:56.5494040-04:00,2014-10-17T00:53:56.5494040-04:00
102,north eastern,north_eastern,north eastern,1,,2014-10-17T00:53:56.5528430-04:00,2014-10-17T00:53:56.5528430-04:00
103,yugoiztochen,yugoiztochen,yugoiztochen,1,,2014-10-17T00:53:56.5974490-04:00,2014-10-17T00:53:56.5974490-04:00
104,south eastern,south_eastern,south eastern,1,,2014-10-17T00:53:56.6035580-04:00,2014-10-17T00:53:56.6035580-04:00
105,de,de,de,1,,2014-10-17T00:53:56.7786810-04:00,2014-10-17T00:53:56.7786810-04:00
106,rm,rm,rm,1,,2014-10-17T00:53:56.8316470-04:00,2014-10-17T00:53:56.8316470-04:00
107,it,it,it,1,,2014-10-17T00:53:56.8350070-04:00,2014-10-17T00:53:56.8350070-04:00
108,zurich,zurich,zurich,1,,2014-10-17T00:53:56.8580240-04:00,2014-10-17T00:53:56.8580240-04:00
109,central,central,central,1,,2014-10-17T00:53:56.8688060-04:00,2014-10-17T00:53:56.8688060-04:00
110,northwestern,northwestern,northwestern,1,,2014-10-17T00:53:56.9346390-04:00,2014-10-17T00:53:56.9346390-04:00
111,espace mittelland,espace_mittelland,espace mittelland,1,,2014-10-17T00:53:56.9655170-04:00,2014-10-17T00:53:56.9655170-04:00
112,lake geneva,lake_geneva,lake geneva,1,,2014-10-17T00:53:57.0155430-04:00,2014-10-17T00:53:57.0155430-04:00
113,ticino,ticino,ticino,1,,2014-10-17T00:53:57.0471200-04:00,2014-10-17T00:53:57.0471200-04:00
114,central bohemia,central_bohemia,central bohemia,1,,2014-10-17T00:53:57.1171630-04:00,2014-10-17T00:53:57.1171630-04:00
115,southwest,southwest,southwest,1,,2014-10-17T00:53:57.1310970-04:00,2014-10-17T00:53:57.1310970-04:00
116,northwest,northwest,northwest,1,,2014-10-17T00:53:57.1480160-04:00,2014-10-17T00:53:57.1480160-04:00
117,northeast,northeast,northeast,1,,2014-10-17T00:53:57.1645780-04:00,2014-10-17T00:53:57.1645780-04:00
118,southeast,southeast,southeast,1,,2014-10-17T00:53:57.1889110-04:00,2014-10-17T00:53:57.1889110-04:00
119,central moravia,central_moravia,central moravia,1,,2014-10-17T00:53:57.2068330-04:00,2014-10-17T00:53:57.2068330-04:00
120,ile de france,ile_de_france,ile de france,1,,2014-10-17T00:53:57.7909610-04:00,2014-10-17T00:53:57.7909610-04:00
121,bassin parisien,bassin_parisien,bassin parisien,1,,2014-10-17T00:53:57.7995330-04:00,2014-10-17T00:53:57.7995330-04:00
122,nord pas de calais,nord_pas_de_calais,nord pas de calais,1,,2014-10-17T00:53:57.8469500-04:00,2014-10-17T00:53:57.8469500-04:00
123,est,est,est,1,,2014-10-17T00:53:57.8615300-04:00,2014-10-17T00:53:57.8615300-04:00
124,ouest,ouest,ouest,1,,2014-10-17T00:53:57.8852080-04:00,2014-10-17T00:53:57.8852080-04:00
125,centre est,centre_est,centre est,1,,2014-10-17T00:53:57.9330750-04:00,2014-10-17T00:53:57.9330750-04:00
126,mediterranee,mediterranee,mediterranee,1,,2014-10-17T00:53:57.9494510-04:00,2014-10-17T00:53:57.9494510-04:00
127,border,border,border,1,,2014-10-17T00:53:57.9998770-04:00,2014-10-17T00:53:57.9998770-04:00
128,leinster,leinster,leinster,1,,2014-10-17T00:53:58.0039260-04:00,2014-10-17T00:53:58.0039260-04:00
129,connaught,connaught,connaught,1,,2014-10-17T00:53:58.0160510-04:00,2014-10-17T00:53:58.0160510-04:00
130,ulster,ulster,ulster,1,,2014-10-17T00:53:58.0393460-04:00,2014-10-17T00:53:58.0393460-04:00
131,midlands,midlands,midlands,1,,2014-10-17T00:53:58.0683920-04:00,2014-10-17T00:53:58.0683920-04:00
132,west,west,west,1,,2014-10-17T00:53:58.1102340-04:00,2014-10-17T00:53:58.1102340-04:00
133,dublin,dublin,dublin,1,,2014-10-17T00:53:58.1423480-04:00,2014-10-17T00:53:58.1423480-04:00
134,mid west,mid_west,mid west,1,,2014-10-17T00:53:58.1532840-04:00,2014-10-17T00:53:58.1532840-04:00
135,munster,munster,munster,1,,2014-10-17T00:53:58.1570060-04:00,2014-10-17T00:53:58.1570060-04:00
136,south east,south_east,south east,1,,2014-10-17T00:53:58.1868020-04:00,2014-10-17T00:53:58.1868020-04:00
137,mid east,mid_east,mid east,1,,2014-10-17T00:53:58.2080410-04:00,2014-10-17T00:53:58.2080410-04:00
138,south west,south_west,south west,1,,2014-10-17T00:53:58.2791810-04:00,2014-10-17T00:53:58.2791810-04:00
139,north west,north_west,north west,1,,2014-10-17T00:53:58.3292770-04:00,2014-10-17T00:53:58.3292770-04:00
140,north east,north_east,north east,1,,2014-10-17T00:53:58.3614320-04:00,2014-10-17T00:53:58.3614320-04:00
141,centre,centre,centre,1,,2014-10-17T00:53:58.3943000-04:00,2014-10-17T00:53:58.3943000-04:00
142,south,south,south,1,,2014-10-17T00:53:58.4249710-04:00,2014-10-17T00:53:58.4249710-04:00
143,islands,islands,islands,1,,2014-10-17T00:53:58.4712470-04:00,2014-10-17T00:53:58.4712470-04:00
144,nord vest,nord_vest,nord vest,1,,2014-10-17T00:53:58.7187190-04:00,2014-10-17T00:53:58.7187190-04:00
145,centru,centru,centru,1,,2014-10-17T00:53:58.7951230-04:00,2014-10-17T00:53:58.7951230-04:00
146,center,center,center,1,,2014-10-17T00:53:58.7999070-04:00,2014-10-17T00:53:58.7999070-04:00
147,nord est,nord_est,nord est,1,,2014-10-17T00:53:58.8563260-04:00,2014-10-17T00:53:58.8563260-04:00
148,sud est,sud_est,sud est,1,,2014-10-17T00:53:58.9145330-04:00,2014-10-17T00:53:58.9145330-04:00
149,sud muntenia,sud_muntenia,sud muntenia,1,,2014-10-17T00:53:58.9736440-04:00,2014-10-17T00:53:58.9736440-04:00
150,bucuresti ilfov,bucuresti_ilfov,bucuresti ilfov,1,,2014-10-17T00:53:59.0453890-04:00,2014-10-17T00:53:59.0453890-04:00
151,sud vest oltenia,sud_vest_oltenia,sud vest oltenia,1,,2014-10-17T00:53:59.0614030-04:00,2014-10-17T00:53:59.0614030-04:00
152,vest,vest,vest,1,,2014-10-17T00:53:59.1112090-04:00,2014-10-17T00:53:59.1112090-04:00
153,western slovakia,western_slovakia,western slovakia,1,,2014-10-17T00:53:59.2278860-04:00,2014-10-17T00:53:59.2278860-04:00
154,central slovakia,central_slovakia,central slovakia,1,,2014-10-17T00:53:59.2534690-04:00,2014-10-17T00:53:59.2534690-04:00
155,eastern slovakia,eastern_slovakia,eastern slovakia,1,,2014-10-17T00:53:59.2740470-04:00,2014-10-17T00:53:59.2740470-04:00
156,en,en,en,1,,2014-10-17T00:53:59.6656320-04:00,2014-10-17T00:53:59.6656320-04:00
157,western canada,western_canada,western canada,1,,2014-10-17T00:53:59.6694120-04:00,2014-10-17T00:53:59.6694120-04:00
158,prairies,prairies,prairies,1,,2014-10-17T00:53:59.6826310-04:00,2014-10-17T00:53:59.6826310-04:00
159,eastern canada,eastern_canada,eastern canada,1,,2014-10-17T00:53:59.7204340-04:00,2014-10-17T00:53:59.7204340-04:00
160,atlantic canada,atlantic_canada,atlantic canada,1,,2014-10-17T00:53:59.7238770-04:00,2014-10-17T00:53:59.7238770-04:00
161,maritimes,maritimes,maritimes,1,,2014-10-17T00:53:59.7273810-04:00,2014-10-17T00:53:59.7273810-04:00
162,central canada,central_canada,central canada,1,,2014-10-17T00:53:59.7857090-04:00,2014-10-17T00:53:59.7857090-04:00
163,northern canada,northern_canada,northern canada,1,,2014-10-17T00:53:59.8130110-04:00,2014-10-17T00:53:59.8130110-04:00
164,territories,territories,territories,1,,2014-10-17T00:53:59.8166090-04:00,2014-10-17T00:53:59.8166090-04:00
165,iu,iu,iu,1,,2014-10-17T00:53:59.8378410-04:00,2014-10-17T00:53:59.8378410-04:00
166,new england,new_england,new england,1,,2014-10-17T00:54:00.0019240-04:00,2014-10-17T00:54:00.0019240-04:00
167,mid atlantic,mid_atlantic,mid atlantic,1,,2014-10-17T00:54:00.0648280-04:00,2014-10-17T00:54:00.0648280-04:00
168,midwest,midwest,midwest,1,,2014-10-17T00:54:00.0974790-04:00,2014-10-17T00:54:00.0974790-04:00
169,east north central,east_north_central,east north central,1,,2014-10-17T00:54:00.1014720-04:00,2014-10-17T00:54:00.1014720-04:00
170,west north central,west_north_central,west north central,1,,2014-10-17T00:54:00.1584470-04:00,2014-10-17T00:54:00.1584470-04:00
171,south atlantic,south_atlantic,south atlantic,1,,2014-10-17T00:54:00.2284650-04:00,2014-10-17T00:54:00.2284650-04:00
172,east south central,east_south_central,east south central,1,,2014-10-17T00:54:00.3165580-04:00,2014-10-17T00:54:00.3165580-04:00
173,west south central,west_south_central,west south central,1,,2014-10-17T00:54:00.3582920-04:00,2014-10-17T00:54:00.3582920-04:00
174,mountain,mountain,mountain,1,,2014-10-17T00:54:00.3975580-04:00,2014-10-17T00:54:00.3975580-04:00
175,north,north,north,1,,2014-10-17T00:54:01.7860980-04:00,2014-10-17T00:54:01.7860980-04:00
176,center west,center_west,center west,1,,2014-10-17T00:54:01.9218670-04:00,2014-10-17T00:54:01.9218670-04:00
177,guayana,guayana,guayana,1,,2014-10-17T00:54:02.1764470-04:00,2014-10-17T00:54:02.1764470-04:00
178,nor oriental,nor_oriental,nor oriental,1,,2014-10-17T00:54:02.2020110-04:00,2014-10-17T00:54:02.2020110-04:00
179,llanos,llanos,llanos,1,,2014-10-17T00:54:02.2337040-04:00,2014-10-17T00:54:02.2337040-04:00
180,capital,capital,capital,1,,2014-10-17T00:54:02.2730800-04:00,2014-10-17T00:54:02.2730800-04:00
181,centro occidental,centro_occidental,centro occidental,1,,2014-10-17T00:54:02.2981640-04:00,2014-10-17T00:54:02.2981640-04:00
182,central western,central_western,central western,1,,2014-10-17T00:54:02.3019520-04:00,2014-10-17T00:54:02.3019520-04:00
183,andina,andina,andina,1,,2014-10-17T00:54:02.3417310-04:00,2014-10-17T00:54:02.3417310-04:00
184,andean,andean,andean,1,,2014-10-17T00:54:02.3503740-04:00,2014-10-17T00:54:02.3503740-04:00
185,insular,insular,insular,1,,2014-10-17T00:54:02.3880890-04:00,2014-10-17T00:54:02.3880890-04:00
186,zuliana,zuliana,zuliana,1,,2014-10-17T00:54:02.3970400-04:00,2014-10-17T00:54:02.3970400-04:00
187,zulian,zulian,zulian,1,,2014-10-17T00:54:02.4008290-04:00,2014-10-17T00:54:02.4008290-04:00
