Id,event_id,title,title2,pos,knockout,start_at,end_at,auto,created_at,updated_at
41,3,Matchday 8,,9,False,2013-06-11,2013-06-11,False,2014-10-17T00:54:14.1069770-04:00,2014-10-17T00:54:14.1069770-04:00
42,3,Matchday,,10,False,2013-08-14,2013-08-14,False,2014-10-17T00:54:14.1090300-04:00,2014-10-17T00:54:14.1090300-04:00
43,3,Matchday 9,,11,False,2013-09-06,2013-09-07,False,2014-10-17T00:54:14.1108910-04:00,2014-10-17T00:54:14.1108910-04:00
44,3,Matchday 10,,12,False,2013-09-10,2013-09-10,False,2014-10-17T00:54:14.1128360-04:00,2014-10-17T00:54:14.1128360-04:00
45,3,Matchday 11,,13,False,2013-10-11,2013-10-11,False,2014-10-17T00:54:14.1146700-04:00,2014-10-17T00:54:14.1146700-04:00
46,3,Matchday 12,,14,False,2013-10-15,2013-10-15,False,2014-10-17T00:54:14.1165880-04:00,2014-10-17T00:54:14.1165880-04:00
47,3,Play-off 1st Leg,"Fr Nov 15, 2013",15,False,2013-11-15,2013-11-15,False,2014-10-17T00:54:15.8827250-04:00,2014-10-17T00:54:15.9367670-04:00
48,3,Play-off 2nd Leg,"Tu Nov 19, 2013",16,False,2013-11-19,2013-11-19,False,2014-10-17T00:54:15.9138760-04:00,2014-10-17T00:54:15.9425800-04:00
49,4,First Round Play-offs / First Leg,,1,False,2011-06-15,2011-07-08,False,2014-10-17T00:54:16.0287980-04:00,2014-10-17T00:54:16.0877130-04:00
50,4,First Round Play-offs / Second Leg,,2,False,2011-07-09,2011-07-17,False,2014-10-17T00:54:16.0611100-04:00,2014-10-17T00:54:16.0900120-04:00
51,4,Matchday II.1,,3,False,2011-09-02,2011-09-02,False,2014-10-17T00:54:16.1718200-04:00,2014-10-17T00:54:16.1718200-04:00
52,4,Matchday II.2,,4,False,2011-09-06,2011-09-06,False,2014-10-17T00:54:16.1739940-04:00,2014-10-17T00:54:16.1739940-04:00
53,4,Matchday II.3,,5,False,2011-09-18,2011-09-18,False,2014-10-17T00:54:16.1760320-04:00,2014-10-17T00:54:16.1760320-04:00
54,4,Matchday II.4,,6,False,2011-10-07,2011-10-07,False,2014-10-17T00:54:16.1780440-04:00,2014-10-17T00:54:16.1780440-04:00
55,4,Matchday II.5,,7,False,2011-10-11,2011-10-11,False,2014-10-17T00:54:16.1799900-04:00,2014-10-17T00:54:16.1799900-04:00
56,4,Matchday II.6,,8,False,2011-10-15,2011-10-15,False,2014-10-17T00:54:16.1820660-04:00,2014-10-17T00:54:16.1820660-04:00
57,4,Matchday II.7,,9,False,2011-11-11,2011-11-11,False,2014-10-17T00:54:16.1888270-04:00,2014-10-17T00:54:16.1888270-04:00
58,4,Matchday II.8,,10,False,2011-11-14,2011-11-14,False,2014-10-17T00:54:16.1946750-04:00,2014-10-17T00:54:16.1946750-04:00
59,4,Matchday II.9,,11,False,2011-11-15,2011-11-15,False,2014-10-17T00:54:16.2011840-04:00,2014-10-17T00:54:16.2011840-04:00
60,4,Matchday III.1,,12,False,2012-06-08,2012-06-08,False,2014-10-17T00:54:16.6135630-04:00,2014-10-17T00:54:16.6135630-04:00
61,4,Matchday III.2,,13,False,2012-06-12,2012-06-12,False,2014-10-17T00:54:16.6154750-04:00,2014-10-17T00:54:16.6154750-04:00
62,4,Matchday III.3,,14,False,2012-09-07,2012-09-07,False,2014-10-17T00:54:16.6174140-04:00,2014-10-17T00:54:16.6174140-04:00
63,4,Matchday III.4,,15,False,2012-09-11,2012-09-11,False,2014-10-17T00:54:16.6192640-04:00,2014-10-17T00:54:16.6192640-04:00
64,4,Matchday III.5,,16,False,2012-10-12,2012-10-12,False,2014-10-17T00:54:16.6211540-04:00,2014-10-17T00:54:16.6211540-04:00
65,4,Matchday III.6,,17,False,2012-10-16,2012-10-16,False,2014-10-17T00:54:16.6229500-04:00,2014-10-17T00:54:16.6229500-04:00
66,4,Matchday HEX.1,,18,False,2013-02-06,2013-02-06,False,2014-10-17T00:54:16.8733710-04:00,2014-10-17T00:54:16.8733710-04:00
67,4,Matchday HEX.2,,19,False,2013-03-22,2013-03-22,False,2014-10-17T00:54:16.8756100-04:00,2014-10-17T00:54:16.8756100-04:00
68,4,Matchday HEX.3,,20,False,2013-03-26,2013-03-26,False,2014-10-17T00:54:16.8774460-04:00,2014-10-17T00:54:16.8774460-04:00
69,4,Matchday HEX.4,,21,False,2013-06-04,2013-06-04,False,2014-10-17T00:54:16.8791560-04:00,2014-10-17T00:54:16.8791560-04:00
70,4,Matchday HEX.5,,22,False,2013-06-07,2013-06-07,False,2014-10-17T00:54:16.8810960-04:00,2014-10-17T00:54:16.8810960-04:00
71,4,Matchday HEX.6,,23,False,2013-06-11,2013-06-11,False,2014-10-17T00:54:16.8831740-04:00,2014-10-17T00:54:16.8831740-04:00
72,4,Matchday HEX.7,,24,False,2013-06-18,2013-06-18,False,2014-10-17T00:54:16.8853230-04:00,2014-10-17T00:54:16.8853230-04:00
73,4,Matchday HEX.8,,25,False,2013-09-06,2013-09-06,False,2014-10-17T00:54:16.8879220-04:00,2014-10-17T00:54:16.8879220-04:00
74,4,Matchday HEX.9,,26,False,2013-09-10,2013-09-10,False,2014-10-17T00:54:16.8911840-04:00,2014-10-17T00:54:16.8911840-04:00
75,4,Matchday HEX.10,,27,False,2013-10-11,2013-10-11,False,2014-10-17T00:54:16.8935020-04:00,2014-10-17T00:54:16.8935020-04:00
76,4,Matchday HEX.11,,28,False,2013-10-15,2013-10-15,False,2014-10-17T00:54:16.8952740-04:00,2014-10-17T00:54:16.8952740-04:00
