Id,key,name,synonyms,code,born_at,city_id,region_id,country_id,nationality_id,created_at,updated_at
42,eyongenoh,Eyong Enoh,,,1986-03-23,,,19,19,2014-10-17T00:54:06.0899320-04:00,2014-10-17T00:54:06.0899320-04:00
43,raoulloe,Raoul LoÃ©,,,1989-01-31,,,19,19,2014-10-17T00:54:06.0916920-04:00,2014-10-17T00:54:06.0916920-04:00
44,samueletoo,Samuel Eto'o,,,1981-03-10,,,19,19,2014-10-17T00:54:06.0933860-04:00,2014-10-17T00:54:06.0933860-04:00
45,pierrewebo,Pierre WebÃ³,,,1982-01-20,,,19,19,2014-10-17T00:54:06.0953210-04:00,2014-10-17T00:54:06.0953210-04:00
46,mohammadouidrissou,Mohammadou Idrissou,,,1980-03-08,,,19,19,2014-10-17T00:54:06.0971960-04:00,2014-10-17T00:54:06.0971960-04:00
47,maximchoupomoting,Maxim Choupo-Moting,,,1989-03-23,,,19,19,2014-10-17T00:54:06.0990560-04:00,2014-10-17T00:54:06.0990560-04:00
48,benjaminmoukandjo,Benjamin Moukandjo,,,1988-11-12,,,19,19,2014-10-17T00:54:06.1007760-04:00,2014-10-17T00:54:06.1007760-04:00
49,sammyndjock,Sammy N'Djock,,,1990-02-25,,,19,19,2014-10-17T00:54:06.1063190-04:00,2014-10-17T00:54:06.1063190-04:00
50,loicfeudjou,LoÃ¯c Feudjou,,,1992-04-14,,,19,19,2014-10-17T00:54:06.1081690-04:00,2014-10-17T00:54:06.1081690-04:00
51,nicolasnkoulou,Nicolas N'Koulou,,,1990-03-27,,,19,19,2014-10-17T00:54:06.1097540-04:00,2014-10-17T00:54:06.1097540-04:00
52,cedricdjeugoue,Cedric Djeugoue,,,1992-08-28,,,19,19,2014-10-17T00:54:06.1113310-04:00,2014-10-17T00:54:06.1113310-04:00
53,joelmatip,JoÃ«l Matip,,,1991-08-08,,,19,19,2014-10-17T00:54:06.1129360-04:00,2014-10-17T00:54:06.1129360-04:00
54,edgarsalli,Edgar Salli,,,1992-08-17,,,19,19,2014-10-17T00:54:06.1146150-04:00,2014-10-17T00:54:06.1146150-04:00
55,vincentaboubakar,Vincent Aboubakar,,,1992-01-22,,,19,19,2014-10-17T00:54:06.1163150-04:00,2014-10-17T00:54:06.1163150-04:00
