Id,name,kind,lat,lng,created_at,updated_at
57,SÃ£o TomÃ© and PrÃ­ncipe,CNTY,,,2014-10-17T00:53:50.4200210-04:00,2014-10-17T00:53:50.4200210-04:00
58,SÃ£o TomÃ©,CITY,,,2014-10-17T00:53:50.4226550-04:00,2014-10-17T00:53:50.4226550-04:00
59,Algeria,CNTY,,,2014-10-17T00:53:50.4399240-04:00,2014-10-17T00:53:50.4399240-04:00
60,Egypt,CNTY,,,2014-10-17T00:53:50.4540310-04:00,2014-10-17T00:53:50.4540310-04:00
61,Morocco,CNTY,,,2014-10-17T00:53:50.4685050-04:00,2014-10-17T00:53:50.4685050-04:00
62,Libya,CNTY,,,2014-10-17T00:53:50.4813260-04:00,2014-10-17T00:53:50.4813260-04:00
63,Tunisia,CNTY,,,2014-10-17T00:53:50.4968570-04:00,2014-10-17T00:53:50.4968570-04:00
64,South Sudan,CNTY,,,2014-10-17T00:53:50.5103980-04:00,2014-10-17T00:53:50.5103980-04:00
65,Juba,CITY,,,2014-10-17T00:53:50.5130970-04:00,2014-10-17T00:53:50.5130970-04:00
66,Sudan,CNTY,,,2014-10-17T00:53:50.5265470-04:00,2014-10-17T00:53:50.5265470-04:00
67,Khartoum,CITY,,,2014-10-17T00:53:50.5290690-04:00,2014-10-17T00:53:50.5290690-04:00
68,South Africa,CNTY,,,2014-10-17T00:53:50.5420450-04:00,2014-10-17T00:53:50.5420450-04:00
69,Botswana,CNTY,,,2014-10-17T00:53:50.5607560-04:00,2014-10-17T00:53:50.5607560-04:00
70,Gaborone,CITY,,,2014-10-17T00:53:50.5633380-04:00,2014-10-17T00:53:50.5633380-04:00
71,Lesotho,CNTY,,,2014-10-17T00:53:50.5782350-04:00,2014-10-17T00:53:50.5782350-04:00
72,Maseru,CITY,,,2014-10-17T00:53:50.5807420-04:00,2014-10-17T00:53:50.5807420-04:00
73,Namibia,CNTY,,,2014-10-17T00:53:50.5956970-04:00,2014-10-17T00:53:50.5956970-04:00
74,Windhoek,CITY,,,2014-10-17T00:53:50.5983670-04:00,2014-10-17T00:53:50.5983670-04:00
75,Swaziland,CNTY,,,2014-10-17T00:53:50.6133260-04:00,2014-10-17T00:53:50.6133260-04:00
76,Lobamba,CITY,,,2014-10-17T00:53:50.6188070-04:00,2014-10-17T00:53:50.6188070-04:00
77,Benin,CNTY,,,2014-10-17T00:53:50.6470040-04:00,2014-10-17T00:53:50.6470040-04:00
78,Porto-Novo,CITY,,,2014-10-17T00:53:50.6498750-04:00,2014-10-17T00:53:50.6498750-04:00
79,Burkina Faso,CNTY,,,2014-10-17T00:53:50.6628250-04:00,2014-10-17T00:53:50.6628250-04:00
80,Ouagadougou,MTRO,,,2014-10-17T00:53:50.6655850-04:00,2014-10-17T00:53:54.4645880-04:00
81,Cape Verde,CNTY,,,2014-10-17T00:53:50.6787650-04:00,2014-10-17T00:53:50.6787650-04:00
82,Praia,CITY,,,2014-10-17T00:53:50.6814640-04:00,2014-10-17T00:53:50.6814640-04:00
83,CÃ´te d'Ivoire,CNTY,,,2014-10-17T00:53:50.6947670-04:00,2014-10-17T00:53:50.6947670-04:00
84,Gambia,CNTY,,,2014-10-17T00:53:50.7076640-04:00,2014-10-17T00:53:50.7076640-04:00
85,Ghana,CNTY,,,2014-10-17T00:53:50.7223060-04:00,2014-10-17T00:53:50.7223060-04:00
86,Guinea,CNTY,,,2014-10-17T00:53:50.7373230-04:00,2014-10-17T00:53:50.7373230-04:00
87,Conakry,MTRO,,,2014-10-17T00:53:50.7399200-04:00,2014-10-17T00:53:54.5369860-04:00
88,Guinea-Bissau,CNTY,,,2014-10-17T00:53:50.7526280-04:00,2014-10-17T00:53:50.7526280-04:00
89,Bissau,CITY,,,2014-10-17T00:53:50.7589250-04:00,2014-10-17T00:53:50.7589250-04:00
90,Liberia,CNTY,,,2014-10-17T00:53:50.7727580-04:00,2014-10-17T00:53:50.7727580-04:00
91,Monrovia,MTRO,,,2014-10-17T00:53:50.7754940-04:00,2014-10-17T00:53:54.5478480-04:00
