Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,31/08/13,Guimaraes,Setubal,1,4,A,1,1,D,1.8,3.5,4.5,1.75,3.5,4.4,1.8,3.2,4,1.75,3.4,4.2,1.86,3.63,4.6,1.8,3.4,4,1.8,3.6,4,1.85,3.6,4.5,31,1.9,1.82,3.63,3.43,4.6,4.18,29,2.08,1.95,1.91,1.83,15,-0.5,1.88,1.84,2.08,2.02
P1,31/08/13,Sp Lisbon,Benfica,1,1,D,1,0,H,2.88,3.4,2.38,2.7,3.4,2.4,2.7,3.1,2.4,2.75,3.1,2.4,2.93,3.42,2.52,2.6,3.2,2.5,2.75,3.4,2.4,2.9,3.4,2.5,31,2.93,2.77,3.45,3.26,2.56,2.44,29,2.1,1.99,1.94,1.79,16,0,2.13,2.07,1.82,1.77
P1,01/09/13,Arouca,Rio Ave,1,0,H,0,0,D,3.3,3.3,2.2,3.6,3.2,2.05,3.2,3.1,2.1,3.2,3.1,2.15,3.55,3.42,2.19,3.25,3.25,2.1,3.3,3.25,2.1,3.5,3.4,2.2,32,3.55,3.27,3.42,3.23,2.26,2.17,28,2.12,2.02,1.85,1.78,15,0.25,2.04,1.99,1.92,1.87
P1,01/09/13,Belenenses,Nacional,2,3,A,1,1,D,2.8,3.25,2.5,2.6,3.2,2.6,2.6,3.1,2.5,2.7,3,2.5,2.94,3.27,2.6,2.7,3.2,2.45,2.75,3.2,2.5,2.9,3.25,2.55,31,3,2.77,3.27,3.17,2.6,2.5,28,2.15,2.03,1.85,1.77,16,0,2.1,2.02,1.87,1.81
P1,01/09/13,Gil Vicente,Sp Braga,1,0,H,0,0,D,4.75,3.6,1.75,4.25,3.5,1.78,4.2,3.3,1.75,4.33,3.4,1.75,4.82,3.77,1.79,4,3.5,1.8,4.8,3.4,1.73,4.75,3.75,1.75,31,5.3,4.6,3.77,3.46,1.81,1.75,27,1.95,1.85,2.08,1.94,15,0.5,2.2,2.13,1.79,1.74
P1,01/09/13,Maritimo,Olhanense,1,1,D,0,1,A,1.73,3.75,4.5,1.67,3.6,5,1.7,3.4,4.3,1.7,3.3,4.8,1.74,3.6,5.65,1.73,3.3,4.8,1.73,3.6,4.5,1.73,3.6,5.4,31,1.79,1.72,3.75,3.51,5.65,4.77,19,2.44,2.22,1.66,1.62,15,-0.75,2,1.96,1.94,1.9
P1,01/09/13,Pacos Ferreira,Porto,0,1,A,0,0,D,12,5.5,1.25,10.5,5.25,1.26,9,4.6,1.27,12,5,1.25,12.48,5.6,1.3,11,5,1.25,11,5.25,1.25,13,5.75,1.25,31,14.5,10.46,6.2,5.45,1.3,1.26,27,1.84,1.79,2.12,2,17,1.5,2.16,2.01,1.89,1.84
P1,02/09/13,Estoril,Academica,1,1,D,0,1,A,1.57,3.8,6,1.62,3.7,5.25,1.55,3.7,5,1.57,3.6,5.5,1.61,3.99,6.39,1.6,3.5,5.5,1.57,3.6,5.5,1.6,3.9,6,32,1.63,1.58,3.99,3.68,6.5,5.74,28,2,1.92,1.95,1.87,18,-1,2.12,2.06,1.84,1.8
P1,14/09/13,Benfica,Pacos Ferreira,3,1,H,2,0,H,1.25,5.5,12,1.22,5.75,11,1.22,5,10,1.25,5.25,11,1.26,6.2,12.9,1.29,5,9,1.29,5.5,9,1.25,6,11,34,1.29,1.26,6.2,5.55,13.02,10.34,21,1.62,1.53,2.58,2.42,18,-1.5,1.89,1.83,2.14,2.02
P1,14/09/13,Porto,Gil Vicente,2,0,H,2,0,H,1.14,7.5,17,1.17,7,12.5,1.15,6,13,1.15,7,19,1.14,8.71,23.99,1.17,6,15,1.14,7.5,15,1.13,8.5,26,34,1.17,1.14,8.71,7.55,26,16.57,18,1.55,1.46,2.7,2.59,17,-2,1.78,1.73,2.22,2.15
P1,14/09/13,Rio Ave,Guimaraes,0,1,A,0,0,D,1.85,3.4,4.33,1.95,3.2,3.9,1.85,3.2,3.8,1.83,3.3,4,1.95,3.55,4.23,1.83,3.4,4,1.9,3.4,4,1.92,3.5,4.2,34,1.95,1.88,3.55,3.37,4.5,4.03,31,2.02,1.93,1.92,1.86,15,-0.75,2.27,2.19,1.74,1.7
P1,15/09/13,Academica,Belenenses,2,1,H,0,1,A,2.1,3.3,3.5,2.1,3.1,3.5,2.1,3.1,3.2,2.05,3.1,3.4,2.23,3.25,3.64,2.1,3.1,3.4,2.1,3.25,3.3,2.2,3.3,3.5,34,2.23,2.13,3.4,3.22,3.7,3.34,22,2.3,2.2,1.74,1.63,15,-0.5,2.23,2.18,1.74,1.71
P1,15/09/13,Nacional,Arouca,0,1,A,0,0,D,1.75,3.5,4.75,1.65,3.6,5,1.7,3.4,4.3,1.67,3.5,4.6,1.79,3.72,4.95,1.67,3.6,4.75,1.73,3.4,4.8,1.8,3.7,4.6,34,1.8,1.72,3.72,3.45,5.7,4.85,30,1.94,1.88,2,1.91,16,-1,2.48,2.36,1.68,1.59
P1,15/09/13,Olhanense,Sp Lisbon,0,2,A,0,0,D,7,4,1.5,6.5,4,1.48,5.5,3.8,1.5,6.5,3.8,1.45,7.89,4.16,1.51,6.5,3.75,1.5,7.5,3.75,1.5,7.5,4.1,1.5,34,8,6.96,4.2,3.79,1.55,1.5,30,2.08,1.98,1.9,1.8,18,1,2.02,1.97,1.97,1.88
P1,15/09/13,Setubal,Maritimo,2,4,A,0,0,D,2.9,3.2,2.45,2.75,3,2.6,2.6,3,2.6,2.75,3,2.45,3.03,3.14,2.63,2.8,3.1,2.45,2.8,3.2,2.5,2.9,3.25,2.55,34,3.03,2.8,3.3,3.18,2.65,2.47,30,2.16,2.05,1.82,1.74,15,0,2.14,2.05,1.83,1.78
P1,15/09/13,Sp Braga,Estoril,3,2,H,1,1,D,1.57,3.8,6,1.6,3.75,5.25,1.55,3.7,5,1.6,3.6,5.25,1.63,4,6.04,1.6,3.75,5,1.57,3.6,5.75,1.65,4,5.5,33,1.65,1.59,4,3.67,6.2,5.64,28,1.96,1.87,2,1.92,18,-1,2.16,2.09,1.82,1.76
P1,20/09/13,Arouca,Sp Braga,0,1,A,0,1,A,4.75,3.6,1.73,5.75,3.5,1.6,4.3,3.4,1.7,5.25,3.5,1.62,5.36,3.74,1.74,4.6,3.4,1.73,5,3.5,1.67,5.4,3.7,1.7,36,5.77,4.98,3.84,3.57,1.77,1.69,33,2.16,2.03,1.85,1.77,18,1,1.72,1.66,2.37,2.25
P1,21/09/13,Belenenses,Maritimo,1,0,H,1,0,H,2.9,3.4,2.38,2.95,3,2.45,2.8,3.1,2.3,2.8,3.1,2.35,3.03,3.39,2.47,2.8,3.2,2.37,2.8,3.25,2.38,2.9,3.4,2.5,34,3.03,2.82,3.4,3.23,2.6,2.42,31,2.2,2.07,1.83,1.74,15,0,2.17,2.09,1.81,1.76
P1,21/09/13,Gil Vicente,Olhanense,1,1,D,1,0,H,2,3.4,3.75,1.95,3.2,4,1.9,3.2,3.6,1.95,3.1,3.8,2.14,3.35,3.8,1.95,3.2,3.8,2.05,3.2,3.6,2.15,3.25,3.75,33,2.12,2.03,3.4,3.24,4.1,3.61,23,2.4,2.24,1.69,1.61,14,-0.25,1.8,1.76,2.19,2.11
P1,21/09/13,Sp Lisbon,Rio Ave,1,1,D,1,0,H,1.36,4.2,11,1.36,4.5,8.25,1.35,4.2,7.5,1.36,4.1,8.5,1.38,4.88,10.06,1.36,4.33,8,1.36,4.33,9,1.36,4.8,9,34,1.43,1.37,4.88,4.44,11,8.22,31,1.92,1.8,2.1,1.99,14,-1.25,1.91,1.88,2.03,1.98
