Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Chris Odoi-Atsem,DC,D,9,5,482,0,0,0,0,1,3,0,0,0
Brandon Aubrey,TOR,D,0,0,0,0,0,0,0,0,0,0,0,0
Miles Robinson,ATL,D,0,0,0,0,0,0,0,0,0,0,0,0
Rennico Clarke,POR,D,0,0,0,0,0,0,0,0,0,0,0,0
Amer Didic,SKC,D,0,0,0,0,0,0,0,0,0,0,0,0
Brett Levis,VAN,D-M,0,0,0,0,0,0,0,0,0,0,0,0
Abuchi Obinwa,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0
Colton Storm,SKC,D,0,0,0,0,0,0,0,0,0,0,0,0
Arun Basuljevic,NYR,M,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Wheeler-Omiunu,ATL,M,0,0,0,0,0,0,0,0,0,0,0,0
Christian Lucatero,HOU,M,0,0,0,0,0,0,0,0,0,0,0,0
Joey Calistri,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0
Chris Goslin,ATL,M,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Hollingsworth,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0
Kip Colvey,COL,D,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Reynolds,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Gomez,NYC,D,0,0,0,0,0,0,0,0,0,0,0,0
Molham Babouli,TOR,F,0,0,0,0,0,0,0,0,0,0,0,0
Auston Trusty,PHI,D,0,0,0,0,0,0,0,0,0,0,0,0
Victor Mansaray,SEA,F,0,0,0,0,0,0,0,0,0,0,0,0
Ben Swanson,CLB,M,0,0,0,0,0,0,0,0,0,0,0,0
Conor Donovan,ORL,D,0,0,0,0,0,0,0,0,0,0,0,0
Nick Besler,RSL,M,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Silva,SJ,D,0,0,0,0,0,0,0,0,0,0,0,0
Chris Durkin,DC,D-M,0,0,0,0,0,0,0,0,0,0,0,0
Zachary Herivaux,NE,M,0,0,0,0,0,0,0,0,0,0,0,0
Eric Ayuk,PHI,M,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Hunter,HOU,M,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Iwasa,KC,F,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Róchez,ATL,F,0,0,0,0,0,0,0,0,0,0,0,0
Collin Fernandez,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0
George Malki,HOU,D,0,0,0,0,0,0,0,0,0,0,0,0
Sam Adekugbe,VAN,D,0,0,0,0,0,0,0,0,0,0,0,0
Marco Bustos,VAN,M,0,0,0,0,0,0,0,0,0,0,0,0
Bill Tuiloma,POR,D-M,0,0,0,0,0,0,0,0,0,0,0,0
Anibal Chala,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0
Gideon Baah,NYR,D,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Corrales,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0
Gbenga Arokoyo,POR,D,0,0,0,0,0,0,0,0,0,0,0,0
Cole Seiler,VAN,D,0,0,0,0,0,0,0,0,0,0,0,0
Zach Mathers,SEA,M,0,0,0,0,0,0,0,0,0,0,0,0
Marc Pelosi,SJ,M,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Camargo,TOR,M,0,0,0,0,0,0,0,0,0,0,0,0
Harold Cummings,SJ,D,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo Añor,MIN,M,0,0,0,0,0,0,0,0,0,0,0,0
Gaston Sauro,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0
Zach Loyd,ATL,D,0,0,0,0,0,0,0,0,0,0,0,0
Johan Brunell,TOR,D,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Edu,PHI,M,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Alston,ORL,D,0,0,0,0,0,0,0,0,0,0,0,0
David Edgar,VAN,D,0,0,0,0,0,0,0,0,0,0,0,0
Marvell Wynne,SJ,D,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Rogers,LA,D,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rolfe,DC,F,0,0,0,0,0,0,0,0,0,0,0,0
Agus,HOU,D,0,0,0,0,0,0,0,0,0,0,0,0
Gianluca Busio,SKC,F,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jones,PHI,D,0,0,0,0,0,0,0,0,0,0,0,0
Matej Dekovic,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0
Adonijah Reid,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Perez,COL,M,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Cannon,DAL,D,1,0,1,0,0,0,0,0,0,0,0,0
Hassan Ndam,RBNY,D,1,0,1,0,0,0,0,0,0,0,0,0
Harrison Heath,MIN,M,1,0,1,0,0,0,0,0,0,0,0,0
Pierre Da Silva,ORL,M,1,0,1,0,0,0,0,0,0,0,0,0
Lindo Mfeka,SJ,M,1,0,1,0,0,0,0,0,0,0,0,0
Ken Tribbett,PHI,D,1,0,3,0,0,0,0,0,0,0,0,0
Andrew Carleton,ATL,M,1,0,4,0,0,0,0,0,0,0,0,0
Kharlton Belmar,SKC,F,1,0,6,0,0,0,0,0,1,0,0,0
Luis Gonzalez,DAL,M,2,0,8,0,0,0,0,0,1,0,0,0
Shamit Shome,MTL,M,1,0,8,0,0,1,0,0,0,0,0,0
Brandon Allen,MIN,F,1,0,9,0,0,0,0,0,0,0,0,0
Hadji Barry,ORL,F,3,0,11,0,0,1,0,0,0,1,0,0
Coy Craft,DAL,F-M,1,0,11,0,0,1,0,0,1,0,0,0
Alhaji Kamara,DC,F,1,0,14,0,0,1,0,0,0,0,0,0
Jose Leiton,MIN,M,1,0,15,0,0,0,0,0,0,0,0,0
Jesus Ferreira,DAL,F,1,0,19,1,0,1,1,0,0,0,0,0
Cameron Porter,KC,F,1,0,21,0,0,1,0,0,0,1,0,0
Jose Escalante,HOU,M,3,0,24,0,0,2,0,0,2,0,0,0
Charlie Davies,PHI,F,3,0,25,0,0,0,0,0,1,0,0,0
Chance Myers,POR,D,1,1,44,0,0,0,0,0,0,0,0,0
Mauro Rosales,VAN,M,5,0,52,0,0,0,0,0,1,0,0,0
Donnie Smith,NE,M,1,1,53,0,0,0,0,0,0,0,0,0
Wandrille Lefevre,MTL,D,3,1,103,0,0,2,1,0,0,0,0,0
Connor Maloney,CLB,D,2,1,127,0,1,1,0,0,1,0,0,0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
