Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Graham Zusi,SKC,D-M,24,23,2114,0,8,37,11,16,17,1,3,1
Emmanuel Boateng,LA,M,34,29,2321,4,2,28,13,16,19,7,0,0
Michael Parkhurst,ATL,D,33,33,2906,0,0,1,0,16,8,0,4,0
Ilie Sanchez,SKC,M,33,33,2970,0,2,19,2,16,37,0,6,0
Aurélien Collin,RBNY,D,9,7,545,0,0,5,1,15,6,0,2,0
Paul Arriola,DC,M-F,11,11,922,1,2,19,7,15,19,0,2,0
Nouhou Tolo,SEA,D,19,10,1052,0,1,5,0,15,13,1,1,1
Alphonso Davies,VAN,M,26,9,1053,0,1,15,2,15,18,3,1,0
Liam Ridgewell,POR,D,15,15,1270,3,0,7,3,15,23,1,4,0
Connor Lade,RBNY,D,21,16,1381,0,2,12,3,15,18,0,3,0
Steven Beitashour,LAFC,D,22,17,1589,0,5,4,1,15,10,0,1,0
Jordan Morris,SEA,F,23,22,1801,3,1,34,14,15,12,14,0,0
Scott Sutter,ORL,D,32,30,2729,1,4,17,3,15,36,1,1,0
Adam Jahn,CLB,F,21,1,316,1,1,8,5,14,2,1,3,0
Nicolas Mezquida,VAN,M,20,8,686,2,1,12,4,14,19,2,1,0
Javier Morales,DAL,M,15,8,757,1,2,7,3,14,7,0,1,0
Cristian Colman,DAL,F,26,10,959,2,1,40,15,14,14,6,1,0
Samuel Piette,MTL,M,11,11,960,0,1,3,0,14,12,0,3,0
Matteo Mancosu,MTL,F,26,20,1745,6,2,49,20,14,13,31,5,0
Giovani dos Santos,LA,F,25,25,2189,6,3,59,17,14,21,7,3,0
Joevin Jones,SEA,D,30,28,2451,1,11,27,6,14,34,6,4,1
Sebastian Saucedo,RSL,M,20,5,573,0,2,29,8,13,17,2,2,0
Sam Nicholson,MIN,M,12,8,639,1,1,19,5,13,16,0,0,0
Russell Teibert,VAN,M,12,8,731,0,0,5,1,13,4,0,1,0
Yoshi Yotun,ORL,M,10,10,887,1,4,16,4,13,33,0,2,0
Keegan Rosenberry,PHI,D,14,11,1051,0,1,4,2,13,6,0,2,0
Shaun Francis,MTL,D,14,12,1067,0,0,7,3,13,4,2,1,0
Anthony Jackson-Hamel,MTL,F,21,11,1137,9,4,32,14,13,11,4,0,0
Aaron Maund,VAN,D,15,14,1179,1,0,8,3,13,2,0,2,0
Brek Shea,VAN,M-F,25,14,1325,4,2,22,8,13,23,5,2,1
Tommy Redding,RBNY,D,18,14,1406,0,0,2,1,13,3,0,4,0
Zarek Valentin,POR,D,19,17,1547,0,3,1,0,13,5,0,2,0
Nick DeLeon,DC,M,19,18,1594,0,0,18,4,13,15,1,3,0
Jefferson Savarino,RSL,F,22,19,1673,6,5,57,25,13,46,6,0,0
DaMarcus Beasley,HOU,D,24,22,1985,0,1,6,3,13,35,0,0,0
Stefan Aigner,COL,M-F,9,5,488,2,1,9,3,12,12,3,2,0
Erik Hurtado,VAN,F-M,15,7,523,3,2,10,5,12,9,8,0,0
Aly Ghazal,VAN,M,7,7,630,0,0,5,0,12,9,0,0,0
Waylon Francis,SEA,D,12,10,852,0,2,8,0,12,6,1,0,0
Saad Abdul-Salaam,NYC,D,12,10,902,1,1,10,3,12,10,0,1,0
Ambroise Oyongo,MTL,D,11,11,990,1,1,10,3,12,14,0,0,0
Darren Mattocks,DC,F,24,11,1075,4,2,31,14,12,18,7,1,0
Nick Hagglund,TOR,D,15,13,1124,0,0,9,1,12,7,0,2,0
Sheanon Williams,VAN,D,15,15,1349,0,3,2,0,12,20,0,3,0
Kyle Fisher,MTL,D,20,15,1455,1,0,6,1,12,5,0,3,0
