Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC2,31/08/13,Ayr,Airdrie Utd,2,2,D,2,2,D,1.85,3.6,4,1.8,3.6,3.6,1.8,3.3,3.6,1.83,3.5,3.4,1.826,3.92,4.3,1.83,3.5,3.4,1.8,3.6,3.8,1.83,3.6,4.1,28,1.91,1.82,3.75,3.57,4.1,3.73,17,1.63,1.55,2.45,2.35,14,-0.5,1.88,1.85,2.03,1.99
SC2,31/08/13,Dunfermline,Stranraer,3,1,H,1,1,D,1.53,4.33,5.5,1.53,3.9,5,1.5,3.7,5,1.57,3.75,4.5,1.549,4.56,5.86,1.5,4,4.8,1.5,4,5.5,1.55,4.3,5.75,27,1.62,1.52,4.33,4.07,5.75,5.16,16,1.61,1.51,2.62,2.45,15,-1,1.96,1.9,1.99,1.94
SC2,31/08/13,Forfar,Stenhousemuir,1,2,A,0,2,A,2.5,3.6,2.6,2.3,3.5,2.55,2.3,3.2,2.5,2.2,3.5,2.62,2.57,3.7,2.66,2.2,3.5,2.62,2.38,3.5,2.6,2.5,3.6,2.7,28,2.5,2.37,3.6,3.42,2.8,2.59,16,1.45,1.43,2.9,2.68,13,0,1.9,1.85,2.06,2
SC2,31/08/13,Rangers,East Fife,5,0,H,3,0,H,1.17,7.5,13,1.17,6.5,10,1.15,6,12,1.14,6.5,11,,,,1.17,6,10,1.17,7,12,1.17,7.5,17,27,1.2,1.16,7.5,6.71,18.5,12.42,17,1.4,1.37,3.2,2.94,13,-2,1.85,1.8,2.11,2.04
SC2,14/09/13,Airdrie Utd,Stranraer,3,2,H,1,1,D,2.1,3.75,3.1,2,3.5,3.1,2.2,3.2,2.7,2,3.5,3,2.2,3.76,3.19,2.3,3.2,3.2,2.1,3.5,3,2.2,3.7,3.1,28,2.2,2.11,3.75,3.43,3.25,3.01,18,1.67,1.62,2.38,2.21,14,-0.25,1.9,1.87,2.08,1.97
SC2,14/09/13,Brechin,Dunfermline,1,1,D,0,1,A,2.4,3.5,2.75,2.2,3.5,2.7,2.3,3.2,2.5,2.2,3.5,2.62,2.5,3.7,2.78,2.5,3.2,2.8,2.4,3.4,2.63,2.4,3.75,2.75,28,2.5,2.38,3.75,3.39,2.75,2.62,16,1.53,1.47,2.8,2.56,13,0,1.9,1.85,2.06,2
SC2,14/09/13,East Fife,Forfar,1,3,A,1,1,D,2.25,3.6,2.9,2.05,3.5,3,2.2,3.2,2.7,2,3.5,3,2.38,3.68,2.91,2.38,3.2,3,2.25,3.5,2.8,2.3,3.6,2.9,28,2.4,2.23,3.6,3.42,3,2.83,16,1.5,1.46,2.75,2.57,14,-0.25,2.08,2.01,1.89,1.83
SC2,14/09/13,Rangers,Arbroath,5,1,H,0,0,D,1.14,7,13,1.12,7,13,1.15,6,12,1.14,6,12,,,,1.17,7.5,13,1.13,6.5,19,1.14,7.5,21,24,1.15,1.13,10.25,7.02,26,16.91,18,1.41,1.38,3,2.88,12,-2.25,1.91,1.83,2.05,2
SC2,14/09/13,Stenhousemuir,Ayr,1,1,D,0,1,A,2.25,3.75,2.8,2.2,3.5,2.7,2.2,3.2,2.7,2.25,3.5,2.5,2.38,3.64,2.94,2.4,3.3,2.88,2.25,3.4,2.8,2.3,3.6,3,29,2.38,2.26,3.75,3.41,2.95,2.76,18,1.57,1.52,2.62,2.42,14,-0.25,2.07,2,1.89,1.84
SC2,21/09/13,Arbroath,Stenhousemuir,3,4,A,1,1,D,2.7,3.6,2.4,2.45,3.5,2.4,2.5,3.2,2.3,2.25,3.5,2.5,2.9,3.56,2.44,2.7,3.4,2.5,2.75,3.4,2.38,2.9,3.6,2.3,27,2.9,2.65,3.6,3.34,2.5,2.36,17,1.67,1.6,2.4,2.25,12,0,2.19,2.09,1.82,1.77
SC2,21/09/13,Ayr,Brechin,2,2,D,2,0,H,2.2,3.4,3.2,2.3,3.4,2.65,2.2,3.2,2.7,2.1,3.5,2.75,2.28,3.67,3.08,2.4,3.5,2.8,2.3,3.4,2.8,2.25,3.75,2.9,27,2.4,2.25,3.6,3.33,3.2,2.83,17,1.62,1.51,2.62,2.45,12,0,1.74,1.7,2.23,2.18
SC2,21/09/13,Dunfermline,Airdrie Utd,2,1,H,0,0,D,1.6,4.2,5,1.65,3.8,4.1,1.55,3.5,4.8,1.66,3.6,4,1.637,4.37,5.12,1.73,3.75,4.5,1.62,3.8,4.8,1.65,4.2,4.8,27,1.73,1.61,4.2,3.77,5.05,4.66,16,1.53,1.46,2.88,2.58,12,-0.75,1.84,1.8,2.09,2.05
SC2,21/09/13,Stranraer,East Fife,2,0,H,1,0,H,2.4,3.5,2.75,2.45,3.4,2.45,2.3,3.2,2.5,2.37,3.5,2.37,2.32,3.66,3.02,2.5,3.5,2.62,2.4,3.4,2.63,2.45,3.6,2.75,27,2.5,2.4,3.5,3.32,2.8,2.61,17,1.57,1.52,2.62,2.42,13,0,1.85,1.82,2.07,2.03
SC2,22/09/13,Forfar,Rangers,0,1,A,0,1,A,10,5.5,1.29,8.5,5.25,1.25,9,4.5,1.25,9,5.5,1.2,10.85,6.45,1.268,9.5,5.5,1.29,9.5,5.25,1.25,12,6,1.25,26,12,9.51,6,5.37,1.29,1.24,17,1.36,1.31,3.25,3,11,1.5,2.2,2.15,1.77,1.72
SC2,28/09/13,Arbroath,Forfar,3,0,H,1,0,H,2.2,3.75,2.88,2.2,3.5,2.7,2.3,3.2,2.5,2.2,3.5,2.62,2.3,3.82,2.96,2.4,3.4,2.8,2.25,3.6,2.75,2.25,3.8,2.88,28,2.4,2.26,3.82,3.49,2.96,2.73,16,1.52,1.48,2.7,2.53,13,-0.25,2.04,2,1.88,1.84
SC2,28/09/13,Brechin,Stranraer,1,1,D,1,0,H,1.67,3.8,5,1.65,3.75,4.25,1.7,3.4,3.9,1.61,3.6,4.33,1.74,4.17,4.51,1.75,3.5,4.2,1.73,3.75,4.33,1.73,4.1,4.3,28,1.75,1.69,4.17,3.73,5,4.21,16,1.52,1.49,2.7,2.52,13,-0.75,2.01,1.94,1.94,1.9
SC2,28/09/13,Dunfermline,Ayr,5,1,H,4,1,H,1.73,4,4.2,1.8,3.6,3.6,1.75,3.4,3.7,1.83,3.5,3.4,1.78,4.05,4.46,1.75,3.75,4.5,1.73,3.6,4.33,1.75,4,4.3,27,1.87,1.75,4.05,3.65,4.5,3.99,15,1.65,1.57,2.4,2.31,12,-0.5,1.78,1.75,2.14,2.1
SC2,28/09/13,East Fife,Airdrie Utd,1,0,H,1,0,H,2.5,3.75,2.5,2.3,3.5,2.55,2.4,3.2,2.4,2.25,3.5,2.5,2.61,3.72,2.61,2.62,3.5,2.5,2.5,3.5,2.5,2.62,3.7,2.5,27,2.66,2.49,3.75,3.41,2.61,2.49,15,1.62,1.58,2.38,2.29,13,0,2.01,1.95,1.95,1.9
SC2,28/09/13,Rangers,Stenhousemuir,8,0,H,3,0,H,1.17,7.5,13,1.16,6.75,10,1.15,6,12,1.16,5.5,11,,,,1.17,7,15,1.17,7,12,1.17,7.5,18,26,1.17,1.15,7.5,6.69,18.11,13.24,16,1.35,1.3,3.6,3.35,11,-2,1.88,1.79,2.11,2.07
SC2,05/10/13,Airdrie Utd,Brechin,3,1,H,2,1,H,2.38,3.6,2.5,2.45,3.5,2.4,2.4,3.2,2.4,2.37,3.5,2.37,2.68,3.64,2.58,2.6,3.4,2.6,2.5,3.5,2.5,2.6,3.6,2.6,27,2.61,2.47,3.6,3.35,2.65,2.53,16,1.62,1.57,2.5,2.31,14,0,1.95,1.89,2.01,1.95
