Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,17/08/13,Hibernian,Dundee United,1,1,D,0,1,A,A Crawford ,8,10,4,2,13,11,6,7,3,2,1,1,2.75,3.2,2.55,2.7,3,2.5,2.6,3.1,2.5,2.62,3.25,2.62,2.88,3.31,2.63,2.7,3.1,2.5,2.75,3.25,2.5,2.8,3.25,2.62,29,2.91,2.74,3.34,3.17,2.7,2.54,27,2.17,2.1,1.77,1.71,,,,,,
SC0,17/08/13,Inverness C,Motherwell,2,0,H,2,0,H,I Brines,13,13,4,3,9,9,2,6,2,1,0,0,2.38,3.25,3,2.4,3.25,2.65,2.3,3.1,2.8,2.5,3.3,2.8,2.59,3.38,2.87,2.5,3.2,2.6,2.5,3.25,2.8,2.6,3.3,2.8,30,2.63,2.48,3.41,3.2,3,2.79,28,2,1.92,1.95,1.87,,,,,,
SC0,17/08/13,St Johnstone,Ross County,4,0,H,2,0,H,B Colvin,17,3,6,1,9,19,5,4,0,4,0,0,1.85,3.5,4.2,1.8,3.4,4,1.8,3.3,3.9,1.9,3.25,4.33,1.99,3.37,4.33,1.85,3.2,4.2,1.91,3.4,4,2,3.3,4.2,30,2.04,1.94,3.5,3.35,4.2,3.87,22,2.38,2.22,1.68,1.6,,,,,,
SC0,17/08/13,St Mirren,Kilmarnock,1,1,D,0,0,D,J Beaton,12,7,5,3,11,12,4,3,1,0,0,1,2.3,3.3,3.1,2.25,3.2,2.9,2.3,3,2.9,2.4,3.3,2.87,2.49,3.38,3.01,2.3,3.2,2.88,2.38,3.3,2.88,2.5,3.3,3,30,2.5,2.4,3.38,3.19,3.1,2.88,28,2.1,2.02,1.83,1.77,,,,,,
SC0,24/08/13,Celtic,Inverness C,2,2,D,1,2,A,C Thomson,19,7,7,3,10,9,11,3,1,1,0,0,1.44,4.33,7,1.4,4.1,7.25,1.35,4.2,7.5,1.44,4.5,6.5,1.49,4.68,7.01,1.44,4.33,7,1.44,4.5,6,1.5,4.5,6.5,31,1.51,1.45,4.75,4.34,8,6.55,21,1.75,1.65,2.25,2.17,17,-1,1.86,1.82,2.12,2.04
SC0,24/08/13,Dundee United,St Johnstone,4,0,H,3,0,H,B Madden,10,4,6,1,11,7,10,6,2,2,0,0,2.63,3.25,2.63,2.4,3.25,2.65,2.4,3.1,2.7,2.6,3.2,2.75,2.81,3.27,2.72,2.3,3.1,2.75,2.6,3.25,2.63,2.7,3.25,2.75,30,2.81,2.57,3.35,3.22,2.8,2.67,28,2.18,2.08,1.8,1.73,15,0,1.97,1.91,1.98,1.92
SC0,24/08/13,Hearts,Aberdeen,2,1,H,1,0,H,A Muir,9,12,4,4,13,16,5,6,1,2,1,0,3.25,3.5,2.1,3.1,3.2,2.15,3,3.1,2.2,3.1,3.4,2.25,3.65,3.3,2.21,3,3.1,2.15,3.3,3.3,2.1,3.6,3.25,2.2,30,3.65,3.29,3.5,3.25,2.25,2.15,20,2.44,2.27,1.62,1.58,15,0.5,1.78,1.73,2.24,2.14
SC0,24/08/13,Kilmarnock,Hibernian,1,2,A,1,0,H,K Clancy,8,4,3,4,7,8,6,3,1,2,0,0,2.3,3.25,3.1,2.3,3.2,2.85,2.3,3.1,2.8,2.4,3.25,2.9,2.42,3.36,3.13,2.3,3.1,2.75,2.38,3.25,2.88,2.4,3.3,3.1,29,2.5,2.37,3.4,3.23,3.13,2.91,27,2.18,2.09,1.79,1.72,15,0,1.77,1.72,2.23,2.12
SC0,24/08/13,Motherwell,Partick,1,0,H,1,0,H,E Norris,15,7,5,3,11,7,5,6,3,3,0,0,2.1,3.4,3.4,1.87,3.3,3.8,2,3.2,3.3,1.9,3.4,4,2.16,3.33,3.73,1.8,3.25,3.75,2.05,3.4,3.5,2.15,3.4,3.6,31,2.16,2.04,3.4,3.29,4,3.55,29,2.1,2.01,1.87,1.78,15,-0.25,1.86,1.82,2.14,2.04
SC0,24/08/13,Ross County,St Mirren,3,0,H,2,0,H,C Murray,13,9,8,5,19,8,4,6,1,1,0,0,2.5,3.2,2.8,2.45,3.1,2.7,2.6,3.1,2.5,2.4,3.25,2.9,2.55,3.28,3.01,2.3,3.1,2.75,2.5,3.3,2.75,2.55,3.25,2.9,30,2.62,2.48,3.3,3.22,2.99,2.76,28,2.13,2.05,1.8,1.75,15,0,1.86,1.8,2.19,2.04
SC0,31/08/13,Aberdeen,St Johnstone,0,0,D,0,0,D,S McLean,14,7,5,3,15,11,12,6,1,2,0,0,2.25,3.25,3.25,2.15,3.3,3,2,3.2,3.3,2.1,3.3,3.5,2.34,3.3,3.33,2.05,3.25,3.4,2.25,3.25,3.13,2.3,3.3,3.3,32,2.34,2.22,3.35,3.17,3.5,3.24,30,2.29,2.14,1.77,1.68,14,-0.5,2.35,2.26,1.69,1.65
SC0,31/08/13,Dundee United,Celtic,0,1,A,0,0,D,A Crawford ,2,9,1,2,11,12,3,5,1,1,0,0,6,4.1,1.53,5.25,3.8,1.55,5,3.7,1.55,5.5,3.8,1.61,6.17,4.4,1.56,5.5,3.8,1.55,5.8,3.8,1.57,5.75,4.33,1.57,31,5.92,5.52,4.34,3.92,1.62,1.57,23,1.73,1.61,2.3,2.17,16,1,1.87,1.82,2.1,2.02
SC0,31/08/13,Hibernian,Ross County,0,0,D,0,0,D,I Brines,7,11,1,2,10,15,4,0,0,3,0,0,2.38,3.4,2.88,2.2,3.25,2.95,2.4,3.1,2.7,2.3,3.4,3,2.44,3.36,3.11,2.38,3.2,2.8,2.38,3.25,3,2.4,3.4,3,31,2.44,2.36,3.4,3.23,3.11,2.93,29,2.1,2.01,1.84,1.77,15,0,1.76,1.72,2.21,2.12
SC0,31/08/13,Inverness C,Hearts,2,0,H,2,0,H,J Beaton,15,3,7,0,13,12,8,1,1,1,0,1,1.75,3.6,4.75,1.78,3.5,4,1.75,3.3,4.2,1.83,3.4,4.5,1.76,3.81,5.03,1.75,3.5,4.33,1.73,3.5,4.8,1.75,3.8,4.8,33,1.83,1.75,3.81,3.54,5.03,4.52,31,2.1,1.97,1.91,1.82,15,-0.5,1.88,1.75,2.2,2.11
SC0,31/08/13,Motherwell,Kilmarnock,2,1,H,2,1,H,C Charleston,10,7,7,3,14,11,3,7,2,2,1,0,1.91,3.5,4,1.91,3.3,3.6,1.85,3.2,3.8,1.83,3.5,4.2,1.9,3.61,4.4,1.91,3.3,3.8,1.9,3.4,4,1.9,3.6,4.2,31,1.95,1.88,3.61,3.37,4.5,4.02,29,2.06,1.97,1.86,1.8,14,-0.5,1.94,1.9,2.02,1.95
