date,time_est,day_of_week,home_club,home_initials,home_score,away_club,away_initials,away_score
6-Jun-2015,8:30PM EDT,Saturday,Chicago,CHI,,Orlando,ORL,
6-Jun-2015,8:30PM EDT,Saturday,Sporting KC,SKC,,Seattle,SEA,
6-Jun-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,Vancouver,VAN,
6-Jun-2015,10:30PM EDT,Saturday,Portland,POR,,New England,NE,
7-Jun-2015,5:00PM EDT,Sunday,Real Salt Lake,RSL,,Colorado,COL,
7-Jun-2015,7:00PM EDT,Sunday,San Jose,SJ,,FC Dallas,FCD,
13-Jun-2015,TBD,Saturday,Seattle,SEA,,FC Dallas,FCD,
13-Jun-2015,TBD,Saturday,New York City,NYC,,Montreal,MON,
13-Jun-2015,7:30PM EDT,Saturday,Columbus,CLB,,LA Galaxy,LA,
14-Jun-2015,7:00PM EDT,Sunday,Orlando,ORL,,D.C. United,DC,
