date,time_est,day_of_week,home_club,home_initials,home_score,away_club,away_initials,away_score
8-Aug-2015,9:00PM EDT,Saturday,Colorado,COL,,Columbus,CLB,
8-Aug-2015,9:00PM EDT,Saturday,Houston,HOU,,San Jose,SJ,
9-Aug-2015,4:00PM EDT,Sunday,LA Galaxy,LA,,Seattle,SEA,
9-Aug-2015,7:00PM EDT,Sunday,NY Red Bulls,NYRB,,New York City,NYC,
13-Aug-2015,TBD,Thursday,New York City,NYC,,D.C. United,DC,
14-Aug-2015,11:00PM EDT,Friday,San Jose,SJ,,Colorado,COL,
15-Aug-2015,7:00PM EDT,Saturday,NY Red Bulls,NYRB,,Toronto FC,TOR,
15-Aug-2015,7:30PM EDT,Saturday,New England,NE,,Houston,HOU,
15-Aug-2015,8:30PM EDT,Saturday,Sporting KC,SKC,,Vancouver,VAN,
15-Aug-2015,9:00PM EDT,Saturday,FC Dallas,FCD,,LA Galaxy,LA,
15-Aug-2015,10:00PM EDT,Saturday,Real Salt Lake,RSL,,Portland,POR,
16-Aug-2015,5:00PM EDT,Sunday,Seattle,SEA,,Orlando,ORL,
16-Aug-2015,7:00PM EDT,Sunday,Philadelphia,PHI,,Chicago,CHI,
19-Aug-2015,7:30PM EDT,Wednesday,Columbus,CLB,,New York City,NYC,
19-Aug-2015,8:30PM EDT,Wednesday,Sporting KC,SKC,,San Jose,SJ,
21-Aug-2015,11:00PM EDT,Friday,Portland,POR,,Houston,HOU,
22-Aug-2015,TBD,Saturday,Montreal,MON,,Philadelphia,PHI,
22-Aug-2015,TBD,Saturday,Vancouver,VAN,,FC Dallas,FCD,
22-Aug-2015,TBD,Saturday,Toronto FC,TOR,,Orlando,ORL,
22-Aug-2015,7:00PM EDT,Saturday,D.C. United,DC,,San Jose,SJ,
22-Aug-2015,7:30PM EDT,Saturday,Columbus,CLB,,Sporting KC,SKC,
22-Aug-2015,8:30PM EDT,Saturday,Chicago,CHI,,Colorado,COL,
22-Aug-2015,10:00PM EDT,Saturday,Real Salt Lake,RSL,,Seattle,SEA,
23-Aug-2015,5:00PM EDT,Sunday,LA Galaxy,LA,,New York City,NYC,
26-Aug-2015,8:30PM EDT,Wednesday,Chicago,CHI,,NY Red Bulls,NYRB,
26-Aug-2015,9:00PM EDT,Wednesday,Colorado,COL,,Houston,HOU,
28-Aug-2015,11:00PM EDT,Friday,San Jose,SJ,,LA Galaxy,LA,
29-Aug-2015,TBD,Saturday,Toronto FC,TOR,,Montreal,MON,
29-Aug-2015,TBD,Saturday,New York City,NYC,,Columbus,CLB,
29-Aug-2015,7:00PM EDT,Saturday,Philadelphia,PHI,,New England,NE,
29-Aug-2015,7:30PM EDT,Saturday,Orlando,ORL,,Chicago,CHI,
29-Aug-2015,9:00PM EDT,Saturday,Houston,HOU,,Vancouver,VAN,
29-Aug-2015,9:00PM EDT,Saturday,Colorado,COL,,Sporting KC,SKC,
29-Aug-2015,9:00PM EDT,Saturday,FC Dallas,FCD,,Real Salt Lake,RSL,
30-Aug-2015,5:00PM EDT,Sunday,Seattle,SEA,,Portland,POR,
30-Aug-2015,7:00PM EDT,Sunday,NY Red Bulls,NYRB,,D.C. United,DC,
5-Sep-2015,TBD,Saturday,Seattle,SEA,,Toronto FC,TOR,
5-Sep-2015,TBD,Saturday,Montreal,MON,,Chicago,CHI,
5-Sep-2015,7:30PM EDT,Saturday,New England,NE,,Orlando,ORL,
5-Sep-2015,10:30PM EDT,Saturday,San Jose,SJ,,Philadelphia,PHI,
6-Sep-2015,7:00PM EDT,Sunday,Columbus,CLB,,FC Dallas,FCD,
9-Sep-2015,TBD,Wednesday,Vancouver,VAN,,Colorado,COL,
9-Sep-2015,10:30PM EDT,Wednesday,Portland,POR,,Sporting KC,SKC,
11-Sep-2015,7:00PM EDT,Friday,NY Red Bulls,NYRB,,Chicago,CHI,
12-Sep-2015,7:00PM EDT,Saturday,Philadelphia,PHI,,Columbus,CLB,
12-Sep-2015,8:30PM EDT,Saturday,Houston,HOU,,Real Salt Lake,RSL,
12-Sep-2015,8:30PM EDT,Saturday,FC Dallas,FCD,,New York City,NYC,
