Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Domenic Mediate,CLB,M,11,4,475,1,0,12,7,0/0,8.3,58.3
Jim Curtin,CHI,D,27,24,2143,1,3,12,6,0/0,8.3,50.0
Bobby Boswell,DC,D,27,26,2343,3,1,12,6,0/0,25.0,50.0
Carey Talley,DAL,D,20,14,1092,0,3,11,4,0/0,0.0,36.4
Samuel Caballero,CHI,D,17,16,1439,1,1,11,4,0/0,9.1,36.4
Brian Kamler,RSL,M,28,24,2027,0,0,11,3,0/0,0.0,27.3
Jimmy Conrad,KC,D,25,25,2241,2,2,11,5,0/0,18.2,45.5
Jack Stewart,CHI,D,9,3,400,1,0,10,5,0/0,10.0,50.0
Dipsy Selolwane,RSL,F,8,4,401,0,0,10,4,0/0,0.0,40.0
Joseph Ngwenya,LA,F,16,6,617,0,0,10,6,0/0,0.0,60.0
Guy Melamed,COL,M-D,14,10,910,0,1,10,2,0/0,0.0,20.0
Gonzalo Segares,CHI,D,21,21,1864,3,2,10,5,0/0,30.0,50.0
Chris Wingert,CLB,D,27,20,1895,0,0,10,1,0/0,0.0,10.0
Joe Franchino,NE,M,24,23,2011,0,3,10,4,0/0,0.0,40.0
Brian Carroll,DC,M,32,30,2567,1,3,10,4,0/0,10.0,40.0
Oscar Pareja,DAL,M,18,6,645,1,1,9,6,0/0,11.1,66.7
Eric Vasquez,CLB,M,11,8,703,2,0,9,5,0/0,22.2,55.6
James Riley,NE,D,23,12,1292,1,3,9,4,0/0,11.1,44.4
Danny Califf,SJ,D,20,20,1742,2,0,9,5,0/0,22.2,55.6
Jeff Agoos,MET,D,25,25,2150,0,0,9,4,0/0,0.0,44.4
Daniel Hernandez,NE,M,7,7,557,0,0,8,0,0/0,0.0,0.0
Ned Grabavoy,LA,M,12,9,655,0,3,8,0,0/0,0.0,0.0
Leslie Fitzpatrick,RSL,M,18,6,707,0,2,8,6,0/0,0.0,75.0
Robert Scarlett,RSL,M-D,9,8,719,0,2,8,3,0/0,0.0,37.5
Bryan Namoff,DC,D,17,15,1348,1,1,8,3,0/0,12.5,37.5
David Wagenfuhr,DAL,D,19,15,1368,0,2,8,2,0/0,0.0,25.0
Eddie Pope,RSL,D,20,20,1756,1,0,8,4,0/0,12.5,50.0
Brian Dunseth,RSL,D,24,24,2011,2,0,8,5,0/0,25.0,62.5
Orlando Perez,CHV,D,27,24,2068,0,3,8,4,0/0,0.0,50.0
Greg Vanney,DAL,D,25,25,2210,0,1,8,5,0/0,0.0,62.5
Ritchie Kotschau,COL,D,28,25,2271,0,2,8,1,0/0,0.0,12.5
Chris Leitch,MET,D,28,26,2343,0,1,8,2,0/0,0.0,25.0
Simo Valakari,DAL,M,28,28,2471,0,1,8,1,0/0,0.0,12.5
Dante Washington,CLB,F,9,2,281,0,1,7,3,0/0,0.0,42.9
Jamal Sutton,CLB,F,8,3,327,1,1,7,2,0/0,14.3,28.6
Wolde Harris,COL,F,10,5,504,1,0,7,4,1/1,14.3,57.1
Richard Mulrooney,DAL,M,7,7,574,2,2,7,2,0/0,28.6,28.6
Drew Moor,TOR,D,20,9,934,0,0,7,4,0/0,0.0,57.1
Jesus Ochoa,CHV,M,16,12,1030,0,0,7,2,0/0,0.0,28.6
David Testo,CLB,M-F,17,12,1030,1,3,7,2,0/0,14.3,28.6
Pablo Chinchilla,LA,D,19,17,1399,1,0,7,2,0/0,14.3,28.6
Mike Petke,COL,D,26,26,2250,1,0,7,4,0/0,14.3,57.1
Nick Garcia,KC,D,30,30,2678,0,0,7,3,0/0,0.0,42.9
Khari Stephenson,KC,M,6,1,145,0,0,6,1,0/0,0.0,16.7
Connally Edozien,NE,F-M,9,1,217,0,0,6,4,0/0,0.0,66.7
Luke Kreamalmeyer,RSL,M,6,2,247,0,1,6,2,0/0,0.0,33.3
Ryan Pore,KC,M,8,4,285,1,1,6,1,0/0,16.7,16.7
Marcus Storey,CLB,M-F,12,3,381,0,1,6,1,0/0,0.0,16.7
Matt Behncke,RSL,D,8,7,587,0,0,6,2,0/0,0.0,33.3
Jordan Cila,RSL,F-M,12,8,645,3,1,6,4,0/0,50.0,66.7
Francisco Gomez,CHV,M,12,8,648,0,1,6,0,0/0,0.0,0.0
Tim Ward,MET,D,13,11,1033,0,3,6,2,0/0,0.0,33.3
Jeff Parke,MET,D,21,19,1632,0,1,6,1,0/0,0.0,16.7
Fabrice Noel,COL,F,7,0,123,1,0,5,3,0/0,20.0,60.0
Stephen Armstrong,CLB,M,7,2,244,0,0,5,1,0/0,0.0,20.0
Troy Dayak,SJ,D,7,7,551,1,0,5,1,0/0,20.0,20.0
Facundo Erpen,DC,D,8,8,696,1,0,5,4,0/0,20.0,80.0
Pablo Mastroeni,COL,M,14,12,942,1,0,5,3,0/0,20.0,60.0
John Wilson,DC,D,17,11,1098,0,2,5,2,0/0,0.0,40.0
Hunter Freeman,COL,D,20,14,1216,0,1,5,2,0/0,0.0,40.0
Kenny Cutler,RSL,M,19,19,1699,0,0,5,2,0/0,0.0,40.0
Eddie Robinson,SJ,D,29,29,2450,1,1,5,2,0/0,20.0,40.0
Will Johnson,ORL,M,6,1,161,1,0,4,2,0/0,25.0,50.0
Kevin Novak,RSL,D,3,2,220,1,0,4,2,0/0,25.0,50.0
