Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Seth Stammler,NY,M-D,29,28,2,0,2,0,0.07
Kerry Zavagnin,KC,M,29,29,2,0,1,1,0.07
Wade Barrett,HOU,D,30,30,2,1,1,1,0.07
Rodrigo López,CHV,M,5,0,1,0,1,0,1.45
Kasali Yinka Casal,DC,M,4,0,1,0,0,1,0.87
Brad Evans,SKC,D-M,4,1,1,0,1,0,0.83
Markus Schopp,NY,D-M,5,3,1,0,0,1,0.39
Sinisa Ubiparipovic,NY,F-M,12,0,1,0,1,0,0.39
Ricardinho,DAL,F,8,3,1,1,0,1,0.32
Chris Wondolowski,SJ,F,16,3,1,0,1,0,0.29
Eloy Colombano,KC,M-F,10,1,1,1,1,0,0.29
Taylor Graham,NY,D,5,3,1,0,1,0,0.27
Willian Oliveira,CHI,M,8,4,1,0,1,0,0.24
Francis Doe,NY,F,8,4,1,0,1,0,0.21
Ricardo Virtuoso,CLB,F,8,5,1,0,1,0,0.2
John Cunliffe,CHV,F,15,5,1,0,1,0,0.18
Kyle Veris,LA,D,8,6,1,1,1,0,0.17
Thiago,CHI,M,13,5,1,0,1,0,0.16
Wilman Conde,CHI,D,7,7,1,1,0,1,0.15
Robbie Rogers,CLB,D,10,6,1,0,0,1,0.15
Andrea Lombardo,TOR,F,16,6,1,0,1,0,0.12
Josh Tudela,LA,M,9,9,1,1,1,0,0.12
Justin Mapp,CHI,M,13,10,1,1,1,0,0.11
Chris Lancos,RSL,M-D,14,8,1,0,1,0,0.11
Abel Xavier,LA,D,10,10,1,0,1,0,0.1
Jack Stewart,RSL,D,13,12,1,0,1,0,0.09
Orlando Perez,CHV,D,15,12,1,0,1,0,0.09
Danny Dichio,TOR,F,17,14,1,0,0,1,0.08
Kelly Gray,HOU,D-M,15,13,1,1,1,0,0.08
Atiba Harris,RSL,D,21,13,1,0,1,0,0.07
Hunter Freeman,NY,D,16,15,1,1,1,0,0.07
Dema Kovalenko,NY,M,19,15,1,0,0,1,0.07
Mike Randolph,LA,D,19,15,1,1,0,1,0.06
Kevin Goldthwaite,HOU,D,19,17,1,0,1,0,0.06
Nicolas Hernandez,COL,F,21,17,1,0,1,0,0.06
Avery John,NE,D,19,18,1,0,0,1,0.06
Rusty Pierce,CLB,D,21,19,1,0,1,0,0.06
Jeff Cunningham,RSL,F,23,20,1,0,0,1,0.06
Andrew Boyens,TOR,D,23,21,1,0,1,0,0.05
Joshua Gros,DC,M-D,22,22,1,0,1,0,0.05
Pablo Mastroeni,COL,M,23,21,1,1,1,0,0.05
Diego Gutierrez,CHI,D,23,22,1,0,1,0,0.05
Kyle Martino,LA,M,26,25,1,1,1,0,0.05
Jonathan Bornstein,CHV,D,23,23,1,0,1,0,0.04
Claudio Suarez,CHV,D,25,25,1,0,0,1,0.04
Jovan Kirovski,COL,M-F,28,28,1,1,1,0,0.04
Maurice Edu,TOR,M,25,25,1,0,1,0,0.04
Carey Talley,RSL,D,26,25,1,1,0,1,0.04
Jeff Parke,NY,D,28,26,1,0,0,1,0.04
Clarence Goodson,DAL,D,27,27,1,0,1,0,0.04
Marcos Gonzalez,CLB,D,27,27,1,0,0,1,0.04
Juan Toja,DAL,M,27,27,1,0,1,0,0.04
Gonzalo Segares,CHI,D,27,27,1,1,0,1,0.04
Luciano Emilio,DC,F,29,28,1,1,1,0,0.04
Nick Garcia,KC,D,27,27,1,1,1,0,0.04
Danny O'Rourke,CLB,D,27,27,1,0,0,1,0.04
Daniel Woolard,CHI,D,0,0,0,0,0,0,0.0
Erik Hort,CHI,D,0,0,0,0,0,0,0.0
Marshall Leonard,NE,M,0,0,0,0,0,0,0.0
Roberto Mina,DAL,F,0,0,0,0,0,0,0.0
Tony Lochhead,NE,D,0,0,0,0,0,0,0.0
Carlos Llamosa,CHV,D,0,0,0,0,0,0,0.0
Abdus Ibrahim,DAL,F,0,0,0,0,0,0,0.0
Andrew Daniels,DAL,D,0,0,0,0,0,0,0.0
John DiRaimondo,COL,M,0,0,0,0,0,0,0.0
Randi Patterson,NY,F,0,0,0,0,0,0,0.0
Hugh MacDonald,NY,D,0,0,0,0,0,0,0.0
Jordan Harvey,LAFC,D,0,0,0,0,0,0,0.0
David Guzman,TOR,M,0,0,0,0,0,0,0.0
Yherland McDonald,COL,M,0,0,0,0,0,0,0.0
Rich Asante,TOR,M,0,0,0,0,0,0,0.0
Stephen Lumley,TOR,D,0,0,0,0,0,0,0.0
Tommy Krizanovic,DAL,F,0,0,0,0,0,0,0.0
Scott Jones,DAL,M,0,0,0,0,0,0,0.0
Eric Ebert,HOU,D,0,0,0,0,0,0,0.0
Mike Sambursky,HOU,F,0,0,0,0,0,0,0.0
Julian Nash,HOU,F,0,0,0,0,0,0,0.0
Mike Chabala,HOU,D,0,0,0,0,0,0,0.0
John Michael Hayden,HOU,M,0,0,0,0,0,0,0.0
Mpho Moloi,HOU,M,0,0,0,0,0,0,0.0
Erik Ustruck,HOU,F,0,0,0,0,0,0,0.0
Nick Hatzke,HOU,M,0,0,0,0,0,0,0.0
Chris Loftus,NE,F,0,0,0,0,0,0,0.0
Ryan Solle,NE,M,0,0,0,0,0,0,0.0
Blake Camp,NY,M,0,0,0,0,0,0,0.0
Miguel Gonzalez,NE,M,0,0,0,0,0,0,0.0
Edson Elcock,KC,M-F,0,0,0,0,0,0,0.0
Matt Groenwald,KC,M,0,0,0,0,0,0,0.0
Michael Kraus,KC,M-F,0,0,0,0,0,0,0.0
Willy Guadarrama,KC,F,0,0,0,0,0,0,0.0
Amaechi Igwe,NE,D,0,0,0,0,0,0,0.0
Willie Sims,NE,F,0,0,0,0,0,0,0.0
Jeff Carroll,DC,M-D,0,0,0,0,0,0,0.0
Jamil Walker,DC,M-F,0,0,0,0,0,0,0.0
Kiki Willis,DC,M,0,0,0,0,0,0,0.0
Ryan McMahen,KC,M,0,0,0,0,0,0,0.0
A.J. Godbolt,KC,M,0,0,0,0,0,0,0.0
Ben Hunter,CLB,D,0,0,0,0,0,0,0.0
Aaron Chandler,CLB,M-F,0,0,0,0,0,0,0.0
Bryan Arguez,DC,M,0,0,0,0,0,0,0.0
Brandon Moss,CLB,D,0,0,0,0,0,0,0.0
John Wilson,DC,D,0,0,0,0,0,0,0.0
Brad North,DC,F,0,0,0,0,0,0,0.0
David Arvizu,CHV,F,0,0,0,0,0,0,0.0
Jeff Rowland,RSL,F,0,0,0,0,0,0,0.0
Eder Robles,CHV,D,0,0,0,0,0,0,0.0
Carlos Borja,CHV,D,0,0,0,0,0,0,0.0
Desmond Brooks,CHV,D,0,0,0,0,0,0,0.0
Steven Curfman,RSL,M,0,0,0,0,0,0,0.0
Christian Jimenez,RSL,M,0,0,0,0,0,0,0.0
Bobby Burling,CHV,D,0,0,0,0,0,0,0.0
Joey Worthen,RSL,F-M,0,0,0,0,0,0,0.0
Duke Hashimoto,RSL,F,0,0,0,0,0,0,0.0
Mira Mupier,DC,F,0,0,0,0,0,0,0.0
Kyle Helton,NE,D,0,0,0,0,0,0,0.0
Nana Attakora,TOR,D,0,0,0,0,0,0,0.0
Cristian Nunez,TOR,M,0,0,0,0,0,0,0.0
Jorge Barrera,CHV,D,0,0,0,0,0,0,0.0
Mohammed Sethi,CHV,M,0,0,0,0,0,0,0.0
Daniel Hernandez,NE,M,0,0,0,0,0,0,0.0
Sebastian Botero,DAL,M,0,0,0,0,0,0,0.0
Sandy Gbandi,DAL,M,0,0,0,0,0,0,0.0
A.J. Gray,TOR,M,0,0,0,0,0,0,0.0
Kenneth Hoerner,HOU,M-F,0,0,0,0,0,0,0.0
Chris Karcz,NY,M-F,0,0,0,0,0,0,0.0
Andrei Pacheco,CLB,D,0,0,0,0,0,0,0.0
Clifton Wilmes,COL,D,0,0,0,0,0,0,0.0
Chase Wileman,DAL,M,0,0,0,0,0,0,0.0
Leonard Griffin,CLB,D,0,0,0,0,0,0,0.0
Amir Lowery,KC,M,0,0,0,0,0,0,0.0
Israel Sesay,LA,F,1,0,0,0,0,0,0.0
Erasmo Solorzano,CHV,M,1,0,0,0,0,0,0.0
Sal Caccavale,NY,M,1,0,0,0,0,0,0.0
Osei Telesford,CHI,D,2,0,0,0,0,0,0.0
Luis Tejada,PAN,F,1,0,0,0,0,0,0.0
Jerrod Laventure,NY,F,1,0,0,0,0,0,0.0
Abbe Ibrahim,TOR,F,1,0,0,0,0,0,0.0
Sainey Nyassi,NE,M,1,0,0,0,0,0,0.0
Elie Ikangu,NY,M,1,0,0,0,0,0,0.0
Arsene Oka,NE,M,1,0,0,0,0,0,0.0
Jorge Villafaña,USA,D-M,1,0,0,0,0,0,0.0
Abdoulie Mansally,NE,D,1,0,0,0,0,0,0.0
Ryan Junge,CLB,D,1,0,0,0,0,0,0.0
Bryan Byrne,NE,M,1,0,0,0,0,0,0.0
Jed Zayner,CLB,D,2,0,0,0,0,0,0.0
Anthony Hamilton,CHV,F,2,0,0,0,0,0,0.0
Lance Watson,KC,D,2,0,0,0,0,0,0.0
Will John,KC,M-F,3,0,0,0,0,0,0.0
John Thorrington,CHI,M,2,0,0,0,0,0,0.0
Kenny Cutler,RSL,M,2,0,0,0,0,0,0.0
Mike Caso,LA,F,1,1,0,0,0,0,0.0
Jordan Russolillo,CHI,D,2,1,0,0,0,0,0.0
Daniel Osorno,COL,M,3,0,0,0,0,0,0.0
Mike Banner,CHI,M,3,0,0,0,0,0,0.0
Joe Franchino,NE,M,3,0,0,0,0,0,0.0
Nico Colaluca,COL,M,4,0,0,0,0,0,0.0
Nick LaBrocca,COL,M,2,1,0,0,0,0,0.0
Anthony Wallace,DAL,D,1,1,0,0,0,0,0.0
Andrew Peterson,CLB,D,1,1,0,0,0,0,0.0
Dustin Kirby,RSL,D,1,1,0,0,0,0,0.0
Nikolas Besagno,RSL,M,2,1,0,0,0,0,0.0
Adam Moffat,CLB,M,1,1,0,0,0,0,0.0
Michael Dello-Russo,DAL,D-M,1,1,0,0,0,0,0.0
Blake Wagner,DAL,D-M,1,1,0,0,0,0,0.0
Joey Melo,TOR,M,5,0,0,0,0,0,0.0
Stephen deRoux,DC,M-D,6,1,0,0,0,0,0.0
Tim Regan,NY,D,3,2,0,0,0,0,0.0
Mike Magee,NY,M,7,0,0,0,0,0,0.0
Jerson Monteiro,CHI,F,5,1,0,0,0,0,0.0
Matt Taylor,CHV,F,11,0,0,0,0,0,0.0
Pascal Bedrossian,CHI,F,6,2,0,0,0,0,0.0
Stephen Keel,COL,D,4,1,0,0,0,0,0.0
Omar Cummings,COL,F,11,0,0,0,0,0,0.0
Jamie Watson,RSL,M,9,0,0,0,0,0,0.0
Ian Russell,LA,D,3,3,0,0,0,0,0.0
Gary Flood,NE,M,5,2,0,0,0,0,0.0
Bruno Menezes,CHI,M,3,2,0,0,0,0,0.0
Gabe Gala,TOR,M,5,3,0,0,0,0,0.0
Floyd Franks,CHI,M,7,2,0,0,0,0,0.0
Tyler Hemming,TOR,M,4,2,0,0,0,0,0.0
Jeff Curtin,CHI,D,3,3,0,0,0,0,0.0
Paul Dalglish,HOU,F,5,3,0,0,0,0,0.0
Santino Quaranta,LA,M-F,9,3,0,0,0,0,0.0
Daniel Wasson,COL,D,5,2,0,0,0,0,0.0
Kyle Brown,RSL,F,8,3,0,0,0,0,0.0
Justin Moose,DC,M,7,4,0,0,0,0,0.0
Amado Guevara,CHV,M,4,4,0,0,0,0,0.0
Domenic Mediate,DC,M,10,2,0,0,0,0,0.0
Jason Kreis,RSL,M,4,4,0,0,0,0,0.0
Aaron Hohlbein,KC,D,5,4,0,0,0,0,0.0
Kosuke Kimura,COL,D,4,4,0,0,0,0,0.0
Chris Albright,LA,D,5,5,0,0,0,0,0.0
Rod Dyachenko,DC,M,14,4,0,0,0,0,0.0
Danny Szetela,CLB,M,6,4,0,0,0,0,0.0
Jacob Thomas,CLB,F,9,4,0,0,0,0,0.0
Miguel Canizalez,TOR,D,12,3,0,0,0,0,0.0
Tyson Wahl,KC,D,6,4,0,0,0,0,0.0
Quavas Kirk,LA,F,11,5,0,0,0,0,0.0
Jason Garey,CLB,F,11,5,0,0,0,0,0.0
Ryan Pore,KC,M,17,4,0,0,0,0,0.0
Brian Plotkin,CHI,M,8,5,0,0,0,0,0.0
Kei Kamara,VAN,F,17,4,0,0,0,0,0.0
Tony Sanneh,COL,D,9,5,0,0,0,0,0.0
Tim Ward,CLB,D,6,6,0,0,0,0,0.0
Marco Reda,TOR,D,8,7,0,0,0,0,0.0
Denilson,DAL,M,8,7,0,0,0,0,0.0
Jose Cancela,COL,M,11,5,0,0,0,0,0.0
Roberto Brown,COL,F,13,8,0,0,0,0,0.0
Gavin Glinton,LA,F,19,3,0,0,0,0,0.0
Adam Braz,TOR,D,13,9,0,0,0,0,0.0
Adrian Serioux,DAL,D,10,10,0,0,0,0,0.0
Daniel Torres,RSL,D,10,9,0,0,0,0,0.0
David Wagenfuhr,DAL,D,13,10,0,0,0,0,0.0
Alan Gordon,LA,F,14,11,0,0,0,0,0.0
Matias Mantilla,RSL,D,10,9,0,0,0,0,0.0
Jim Curtin,CHI,D,11,10,0,0,0,0,0.0
Bobby Rhine,DAL,M,19,7,0,0,0,0,0.0
Kurt Morsink,KC,M,21,10,0,0,0,0,0.0
Jason Hernandez,CHV,D,21,9,0,0,0,0,0.0
Paulo Wanchope,CHI,F,12,10,0,0,0,0,0.0
Patrick Ianni,HOU,D-M,16,9,0,0,0,0,0.0
Carlos Pavon,LA,F,18,10,0,0,0,0,0.0
Willis Forko,RSL,D,12,12,0,0,0,0,0.0
Yura Movsisyan,RSL,F,23,9,0,0,0,0,0.0
Chris Leitch,NY,D,12,11,0,0,0,0,0.0
Chad Marshall,SEA,D,12,11,0,0,0,0,0.0
Dan Gargan,COL,D,15,11,0,0,0,0,0.0
Bakary Soumare,CHI,D,19,11,0,0,0,0,0.0
Chris Brown,RSL,M-F,22,12,0,0,0,0,0.0
Joe Vide,NY,M,16,13,0,0,0,0,0.0
Jacob Peterson,COL,F,24,10,0,0,0,0,0.0
Troy Roberts,LA,D,16,12,0,0,0,0,0.0
Aaron Pitchkolan,DAL,D,16,11,0,0,0,0,0.0
Nathan Sturgis,LA,M,14,13,0,0,0,0,0.0
Kevin Harmse,LA,M,17,13,0,0,0,0,0.0
Alex Yi,DAL,D,15,14,0,0,0,0,0.0
Wells Thompson,NE,D,27,11,0,0,0,0,0.0
Robbie Findley,LA,F,25,14,0,0,0,0,0.0
Ante Jazic,LA,D,18,16,0,0,0,0,0.0
Jean-Martial Kipre,RSL,D-M,18,16,0,0,0,0,0.0
Collin Samuel,TOR,F,18,18,0,0,0,0,0.0
Ritchie Kotschau,RSL,D,20,18,0,0,0,0,0.0
Carlos Mendes,NY,D,23,19,0,0,0,0,0.0
Brandon Prideaux,COL,D,21,21,0,0,0,0,0.0
Dasan Robinson,CHI,D,23,21,0,0,0,0,0.0
Devon McTavish,DC,D,22,20,0,0,0,0,0.0
Ezra Hendrickson,CLB,D,23,21,0,0,0,0,0.0
Logan Pause,CHI,M,23.0,21.0,0.0,0.0,0.0,0.0,0.0
Ugo Ihemelu,COL,D,25.0,23.0,0.0,0.0,0.0,0.0,0.0
